Leu,Aeu,iturria,eusterm,wikidata,pos,DefEu,Deu,Jeu,Les,DefEs,Des,Jes,Lfr,DefFr,Dfr,Jfr,Len,DefEn,Den,Jen,Propietateak,P3 (honen parte),P4 (honen azpiklase)
hamarreko handi,hamarreko nagusi,Q19087|Q19088,Q8428,Q16517472,Q8371,"Bertsogintzan, lerro bakoitiak hamar silabakoak eta bikoitiak zortzikoak dituen hamarrekoa","bertsogintzan, lerro bakoitiak hamar silabakoak eta bikoitiak zortzikoak dituen hamarrekoa",Q19088,hamarreko mayor,"Bertso de cinco puntos, cada uno de los cuales consta de 18 sílabas, generalmente transcritas en dos líneas de 10 y 8 sílabas respectivamente","bertso de cinco puntos, cada uno de los cuales consta de 18 sílabas, generalmente transcritas en dos líneas de 10 y 8 sílabas respectivamente",Q19087,hamarreko majeur,"Bertso de cinq points, comptant chacun dix huit syllabes, généralement transcrites sur deux lignes de dix et huit syllabes respectivement","bertso de cinq points, comptant chacun dix huit syllabes, généralement transcrites sur deux lignes de dix et huit syllabes respectivement",Q19087,hamarreko handia,"Bertso made up of five puntus, each with 18 syllables generally transcribed in two lines of 10 and 8 syllables respectively","bertso made up of five puntus, each with 18 syllables generally transcribed in two lines of 10 and 8 syllables respectively",Q19087,honen azpiklase: hamarreko,,Q8427
hamarreko txiki,,Q19087|Q19088,Q8429,Q16517475,Q8371,"Bertsogintzan, lerro bakoitiak zazpi silabakoak eta bikoitiak seikoak dituen hamarrekoa","bertsogintzan, lerro bakoitiak zazpi silabakoak eta bikoitiak seikoak dituen hamarrekoa",Q19088,hamarreko menor,"Bertso de cinco puntos, cada uno de los cuales consta de 13 sílabas, generalmente transcritas en dos líneas de 7 y 6 sílabas respectivamente","bertso de cinco puntos, cada uno de los cuales consta de 13 sílabas, generalmente transcritas en dos líneas de 7 y 6 sílabas respectivamente",Q19087,hamarreko mineur,"Bertso de cinq points, comptant chacun treize syllabes, généralement transcrites sur deux lignes (bertso lerro) de sept et six syllabes respectivement","bertso de cinq points, comptant chacun treize syllabes, généralement transcrites sur deux lignes (bertso lerro) de sept et six syllabes respectivement",Q19087,hamarreko txikia,"Bertso made up of five puntus, each with 13 syllables transcribed in two lines (bertso lerro) of 7 and 6 syllables respectively","bertso made up of five puntus, each with 13 syllables transcribed in two lines (bertso lerro) of 7 and 6 syllables respectively",Q19087,honen azpiklase: hamarreko,,Q8427
hankaluze,,Q19089,Q8430,,Q8371,Dagokion baino silaba gehiago sartzea bertso-lerro batean,dagokion baino silaba gehiago sartzea bertso-lerro batean,Q19089,hankaluze,Error que consiste en meter en una línea más sílabas de las que corresponden según la métrica de un bertso,error que consiste en meter en una línea más sílabas de las que corresponden según la métrica de un bertso,Q19111,hankaluze,Erreur consistant à inclure dans une ligne plus de syllabes que ce qui correspond au mètre du bertso,erreur consistant à inclure dans une ligne plus de syllabes que ce qui correspond au mètre du bertso,Q19111,hankaluze,Mistake that consits of including in a line more syllables than there should be as determined by its metre,mistake that consits of including in a line more syllables than there should be as determined by its metre,Q19111,honen akats: neurri,,
hankamotz,,Q19089,Q8431,,Q8371,Dagokion baino silaba gutxiago sartzea bertso-lerro batean,dagokion baino silaba gutxiago sartzea bertso-lerro batean,Q19089,hankamotz,Error que consiste en meter en una línea menos sílabas de las que corresponden según la métrica de un bertso,error que consiste en meter en una línea menos sílabas de las que corresponden según la métrica de un bertso,Q19111,hankamotz,Erreur consistant à inclure dans une ligne moins de syllabes que ce qui correspond au mètre du bertso,erreur consistant à inclure dans une ligne moins de syllabes que ce qui correspond au mètre du bertso,Q19111,hankamotz,Mistake that consits of including in a line less syllables than there should be as determined by its metre,mistake that consits of including in a line less syllables than there should be as determined by its metre,Q19111,honen akats: neurri,,
hasierako agur,,Q19087,Q8432,,Q8371,"Bertsolariak bertso saio baten hasieran botatzen duen bertsoa, hark hautatutako gai eta doinuan, aurretik prestatua izan daitekeena","bertsolariak bertso saio baten hasieran botatzen duen bertsoa, hark hautatutako gai eta doinuan, aurretik prestatua izan daitekeena",Q19111,bertso de salutación,"Bertso cantado por el bertsolari al comienzo de la actuación, con la tonada y métrica de su elección, que puede haber preparado con anterioridad","bertso cantado por el bertsolari al comienzo de la actuación, con la tonada y métrica de su elección, que puede haber preparado con anterioridad",Q19111,bertso de bienvenue,"Bertso chanté par le bertsolari au début de la représentation, avec l'air et le métre de son choix, et avec la possibilité de l'avoir préparé à l'avance","bertso chanté par le bertsolari au début de la représentation, avec l'air et le métre de son choix, et avec la possibilité de l'avoir préparé à l'avance",Q19111,bertso of greeting,"Bertso sung by the bertsolari at the beginning of the performance, with the melody and metre of their choice, and with the possibility of having prepared it in advance","bertso sung by the bertsolari at the beginning of the performance, with the melody and metre of their choice, and with the possibility of having prepared it in advance",Q19111,honen azpiklase: ariketa,,Q8383
inguru-egoera,,Q19087,Q19106,,Q8371,Bertsoaldi bakoitza errepikaezina izatea eragiten duten elementu presentzial eta erreferentzien multzoa,bertsoaldi bakoitza errepikaezina izatea eragiten duten elementu presentzial eta erreferentzien multzoa,Q19111,situación,Conjunto de elementos presenciales y referenciales que hacen de cada actuación un evento irrepetible,conjunto de elementos presenciales y referenciales que hacen de cada actuación un evento irrepetible,Q19087,environnement-situation,Ensemble d'éléments témoins et référentiels faisant de chaque représentation un événement unique,ensemble d'éléments témoins et référentiels faisant de chaque représentation un événement unique,Q19087,environmental situation,The set of presential and referential elements which make each performance an unrepeatable event.,the set of presential and referential elements which make each performance an unrepeatable event.,Q19087,honen parte: testuinguru,Q19110,
inguru-testu,,Q19087,Q19107,,Q8371,Bertsolariak eta entzulegoak parteka ditzaketen erreferentzia eta balioen multzoa,bertsolariak eta entzulegoak parteka ditzaketen erreferentzia eta balioen multzoa,Q19111,co-texto,Conjunto de referencias y valores más o menos compartidos por el bertsolari y su audiencia,conjunto de referencias y valores más o menos compartidos por el bertsolari y su audiencia,Q19087,environnement-texte,Ensemble de références et de valeurs plus ou moins partagées par le bertsolari et son auditoire,ensemble de références et de valeurs plus ou moins partagées par le bertsolari et son auditoire,Q19087,co-text,Set of references and values more or less shared by the bertsoalari and the audience,set of references and values more or less shared by the bertsoalari and the audience,Q19087,honen parte: testuinguru,Q19110,
kopla,,Q19090,Q8434,Q1862748,Q8371,Bi puntuko bertsoa ,bi puntuko bertsoa ,Q19090,kopla,"Bertso de cuatro lineas y dos puntos, copla","bertso de cuatro lineas y dos puntos, copla",Q19111,kopla,Bertso de quatre lignes et deux points,bertso de quatre lignes et deux points,Q19111,kopla,Bertso made up of four lines and two puntus,bertso made up of four lines and two puntus,Q19111,honen azpiklase: neurri,,Q1751
kopla handi,,Q19091,Q8435,Q115983163,Q8371,"Bertsolaritzan, 10 eta 8 silabako bi ahapaldi dituen bertsoa","bertsolaritzan, 10 eta 8 silabako bi ahapaldi dituen bertsoa",Q19091,kopla mayor,"Bertso de dos puntos, cada uno de los cuales consta de 18 sílabas, generalmente transcritas en dos líneas de 10 y 8 sílabas respectivamente","bertso de dos puntos, cada uno de los cuales consta de 18 sílabas, generalmente transcritas en dos líneas de 10 y 8 sílabas respectivamente",Q19111,kopla majeure,"Bertso de deux points, comptant chacun dix huit syllabes, généralement transcrites sur deux lignes de dix et huit syllabes respectivement","bertso de deux points, comptant chacun dix huit syllabes, généralement transcrites sur deux lignes de dix et huit syllabes respectivement",Q19111,kopla handia,"Bertso made up of two puntus, each with 18 syllables generally transcribed in two lines of 10 and 8 syllables respectively","bertso made up of two puntus, each with 18 syllables generally transcribed in two lines of 10 and 8 syllables respectively",Q19111,honen azpiklase: kopla,,Q8434
kopla txiki,,Q19091,Q8436,Q115983078,Q8371,"Bertsolaritzan, 7 eta 6 silabako bi ahapaldi dituen bertsoa","bertsolaritzan, 7 eta 6 silabako bi ahapaldi dituen bertsoa",Q19091,kopla menor,"Bertso de dos puntos, cada uno de los cuales consta de 13 sílabas, generalmente transcritas en dos líneas de 7 y 6 sílabas respectivamente","bertso de dos puntos, cada uno de los cuales consta de 13 sílabas, generalmente transcritas en dos líneas de 7 y 6 sílabas respectivamente",Q19111,kopla mineure,"Bertso de deux points, comptant chacun treize syllabes, généralement transcrites sur deux lignes (bertso lerro) de sept et six syllabes respectivement","bertso de deux points, comptant chacun treize syllabes, généralement transcrites sur deux lignes (bertso lerro) de sept et six syllabes respectivement",Q19111,kopla txikia,"Bertso made up of two puntus, each with 13 syllables transcribed in two lines (bertso lerro) of 7 and 6 syllables respectively","bertso made up of two puntus, each with 13 syllables transcribed in two lines (bertso lerro) of 7 and 6 syllables respectively",Q19111,honen azpiklase: kopla,,Q8434
kopla zahar,,Q19090,Q8437,Q12261610,Q8371,Jaiegun edo ospakizun berezietan etxerik etxe eskean ibiliz kantatzen diren koplak,jaiegun edo ospakizun berezietan etxerik etxe eskean ibiliz kantatzen diren koplak,Q19090,antiguas koplas,"Koplas tradicionales que se cantan de puerta en puerta en los días de festividades especiales, a veces pidiendo comida o limosna en cada hogar","koplas tradicionales que se cantan de puerta en puerta en los días de festividades especiales, a veces pidiendo comida o limosna en cada hogar",Q19111,anciennes koplas,"Koplas traditionnels chantés de porte en porte les jour des fêtes spéciales, en mendiant parfois de la nourriture ou l'aumône dans chaque maison","koplas traditionnels chantés de porte en porte les jour des fêtes spéciales, en mendiant parfois de la nourriture ou l'aumône dans chaque maison",Q19111,old koplas,"Traditional koplas that are sung door to door on special holidays, in some cases accompanied by asking for food or alms in each home","traditional koplas that are sung door to door on special holidays, in some cases accompanied by asking for food or alms in each home",Q19111,honen azpiklase: kopla,,Q8434
koplari,koblakari|koplakari,Q19090,Q8438,,Q8371,Koplak ontzen edo ematen dituen pertsona,koplak ontzen edo ematen dituen pertsona,Q19090,koplari,"Persona que escribe o improvisa koplas, coplero","persona que escribe o improvisa koplas, coplero",Q19111,koplari,Personne qui écrit ou improvise des koplas,personne qui écrit ou improvise des koplas,Q19111,koplari,Person who writes or improvises koplas,person who writes or improvises koplas,Q19111,honen azpiklase: bertsolari,,Q8404
mahai inguruko saio,mahai-inguruko saio,Q19087,Q8439,,Q8371,"Bertso saio librea, non bertsolariek berek ezartzen duten saioaren norabidea eta erritmoa, espresuki saio hori egin dadin antolatzen den bazkari edo afari baten ostean egiten dena","bertso saio librea, non bertsolariek berek ezartzen duten saioaren norabidea eta erritmoa, espresuki saio hori egin dadin antolatzen den bazkari edo afari baten ostean egiten dena",Q19111,actuación de sobremesa,"Actuación libre, en las que los mismos bertsolaris establecen la pauta y el ritmo de su actuación, llevada a cabo tras una comida o cena organizada única y exclusivamente como marco para esa posterior actuación","actuación libre, en las que los mismos bertsolaris establecen la pauta y el ritmo de su actuación, llevada a cabo tras una comida o cena organizada única y exclusivamente como marco para esa posterior actuación",Q19087,représentation d'après repas,"Représentation libre, dans lequel les bertsolaris établissent eux-mêmes la règle et le rythme à suivre, qui a lieu après un déjeuner ou un dîner organisé uniquement et exclusivement comme cadre pour la représentation suivante","représentation libre, dans lequel les bertsolaris établissent eux-mêmes la règle et le rythme à suivre, qui a lieu après un déjeuner ou un dîner organisé uniquement et exclusivement comme cadre pour la représentation suivante",Q19087,"round-the-table session, post-prandial session","Free performance where the bertsolaris establish the format and the rhythm of their performance, which takes place after a lunch or dinner which is organized exclusively for the bertsolaris event to be celebrated","free performance where the bertsolaris establish the format and the rhythm of their performance, which takes place after a lunch or dinner which is organized exclusively for the bertsolaris event to be celebrated",Q19087,honen azpiklase: saio libre,,Q19108
neurri,,Q19088,Q1751,Q192624,Q8371,Neurtitzak izan behar dituen lerro eta silaba klase eta zenbatekoa,neurtitzak izan behar dituen lerro eta silaba klase eta zenbatekoa,Q19088,métrica,El número y tipo de líneas y sílabas que debe tener un bertso,el número y tipo de líneas y sílabas que debe tener un bertso,Q19111,métre,Le nombre et le type de lignes et de syllabes qu'un bertso doit avoir,le nombre et le type de lignes et de syllabes qu'un bertso doit avoir,Q19111,metre,The number and type of lines and syllables that a bertso must have,the number and type of lines and syllables that a bertso must have,Q19111,honen parte: doinu,Q8415,
ofizioka,,Q19088,Q8441,,Q8375,"Bertsolaritzan, bertsolari bakoitzak gai-jartzaileak emandako rola jokatzen duela","bertsolaritzan, bertsolari bakoitzak gai-jartzaileak emandako rola jokatzen duela",Q19088,rol asignado,Modalidad en la que los bertsolaris improvisan adoptando el rol asignado,modalidad en la que los bertsolaris improvisan adoptando el rol asignado,Q19111,rol assigné,Modalité dans laquelle les bertsolaris improvisent en adoptant le rôle assigné,modalité dans laquelle les bertsolaris improvisent en adoptant le rôle assigné,Q19111,assigned role,Modality in which bertsolaris improvise by interpreting the assigned role,modality in which bertsolaris improvise by interpreting the assigned role,Q19111,honen azpiklase: ariketa,,Q8383
oin,,Q19087|Q19088,Q8443,,Q8371,"Euskal bertsoetan, errima duen hitza, puntu bakoitzaren bukaeran doana","euskal bertsoetan, errima duen hitza, puntu bakoitzaren bukaeran doana",Q19088,pie,"Cada una de las palabras-rima de un bertso, la última palabra de cada punto","cada una de las palabras-rima de un bertso, la última palabra de cada punto",Q19087,pied,"Chacun des mots rimes d'un bertso, le dernier mot de chaque point","chacun des mots rimes d'un bertso, le dernier mot de chaque point",Q19087,foot,"Each of the rhyming words, the termination of each of the rhyming verses in a bertso","each of the rhyming words, the termination of each of the rhyming verses in a bertso",Q19087,honen parte: bertso-lerro,Q8396,
oinak emanda,,Q19087,Q8444,,Q8375,"Txapelketetan sarri ematen den ariketa, non bertsolariak gai jartzaileak ematen dizkion oinekin osatu behar duen bertsoa","txapelketetan sarri ematen den ariketa, non bertsolariak gai jartzaileak ematen dizkion oinekin osatu behar duen bertsoa",Q19111,pies forzados,Tipo de ejercicio frecuente en los campeonatos en el que el bertsolari ha de improvisar su bertso utilizando los pies que le indica el conductor.,tipo de ejercicio frecuente en los campeonatos en el que el bertsolari ha de improvisar su bertso utilizando los pies que le indica el conductor.,Q19087,pieds forcés,Type d'exercice fréquent en championnat dans lequel le bertsolari doit improviser son bertso en utilisant les pieds indiqués par le meneur de jeu.,type d'exercice fréquent en championnat dans lequel le bertsolari doit improviser son bertso en utilisant les pieds indiqués par le meneur de jeu.,Q19087,imposed feet,"Form of exercise common in championships where the bertsolari has to improvise their bertso using the foot, or rhyming words, instructed by the theme-prompter","form of exercise common in championships where the bertsolari has to improvise their bertso using the foot, or rhyming words, instructed by the theme-prompter",Q19087,honen azpiklase: ariketa,,Q8383
poto,,Q19087|Q19088,Q8445,Q134548285,Q8371,Bertsolariak oin bera esanahi beraz bertsoaren bi puntutan errepikatzean egiten duen hutsa,bertsolariak oin bera esanahi beraz bertsoaren bi puntutan errepikatzean egiten duen hutsa,Q19088,poto,Error que consiste en repetir la misma palabra con el mismo significado en dos o más pies del mismo bertso,error que consiste en repetir la misma palabra con el mismo significado en dos o más pies del mismo bertso,Q19087,poto,"Faute consistant à répéter le même mot avec le même sens dans deux pieds, ou plus, du même bertso","faute consistant à répéter le même mot avec le même sens dans deux pieds, ou plus, du même bertso",Q19087,poto,"Mistake which consists of repeating the same foot, or rhyming word, with the same meaning within one bertso","mistake which consists of repeating the same foot, or rhyming word, with the same meaning within one bertso",Q19087,honen akats: errima,,
puntu,,Q19087|Q19088,Q8447,,Q8371,"Euskal bertsoetan, oinetik oinerako esaldia","euskal bertsoetan, oinetik oinerako esaldia",Q19088,punto,"Unidad básica del bertso, conjunto de sílabas cuya última palabra es portadora de la rima elegida","unidad básica del bertso, conjunto de sílabas cuya última palabra es portadora de la rima elegida",Q19087,point,"Unité fondamentale du bertso, ensemble de syllabes dont le dernier mot est porteur de la rime choisie","unité fondamentale du bertso, ensemble de syllabes dont le dernier mot est porteur de la rime choisie",Q19087,puntu,"Basic unit of the bertso, the rhyming line of verse which carries the chosen foot, the rhyming word","basic unit of the bertso, the rhyming line of verse which carries the chosen foot, the rhyming word",Q19087,honen parte: testu,Q19109,
puntua emanda,,Q19087,Q8448,,Q8375,"Gai jartzaileak lehenengo puntua kantatu ostean, bertsolariak bat-batean bertsoa osatzean datzan ariketa","gai jartzaileak lehenengo puntua kantatu ostean, bertsolariak bat-batean bertsoa osatzean datzan ariketa",Q19111,arranque forzado,Ejercicio en el que el conductor canta el primer punto del bertso y el bertsolari ha de completarlo inmediatamente,ejercicio en el que el conductor canta el primer punto del bertso y el bertsolari ha de completarlo inmediatamente,Q19087,démarrage forcé,Exercice dans lequel le meneur du jeu chante le premier point du bertso et le bertsolari doit le compléter immédiatement,exercice dans lequel le meneur du jeu chante le premier point du bertso et le bertsolari doit le compléter immédiatement,Q19087,"forced start-up, imposed start-up",Exercise in which the theme-prompter sings the initial puntu of the bertso and the bertsolari must complete the bertso immediately,exercise in which the theme-prompter sings the initial puntu of the bertso and the bertsolari must complete the bertso immediately,Q19087,honen azpiklase: ariketa,,Q8383
puntuka,,Q19087|Q19088,Q8449,,Q8375,"Bertsolari bakoitzak puntu bat kantatuz, denen artean bertsoa osatzen dutela","bertsolari bakoitzak puntu bat kantatuz, denen artean bertsoa osatzen dutela",Q19088,punto corrido,"Modalidad en la que los bertsolaris intervienen por turnos, cantando cada uno un punto para formar un bertso","modalidad en la que los bertsolaris intervienen por turnos, cantando cada uno un punto para formar un bertso",Q19087,point suivi,Modalité dans lequel les bertsolaris interviennent chacun son tour et chantent chacun un point pour former un bertso,modalité dans lequel les bertsolaris interviennent chacun son tour et chantent chacun un point pour former un bertso,Q19087,running rhymes,Performance in which two or more bertsolaris take turns in singing one puntu each to complete a bertso together,performance in which two or more bertsolaris take turns in singing one puntu each to complete a bertso together,Q19087,honen azpiklase: ariketa,,Q8383
saio libre,,Q19087,Q19108,,Q8371,Gai jartzailerik gabeko bertso saioa,gai jartzailerik gabeko bertso saioa,Q19111,actuación libre,Actuación bertsolarística sin conductor,actuación bertsolarística sin conductor,Q19087,représentation libre,Représentation bertsolaristique sans meneur du jeu,représentation bertsolaristique sans meneur du jeu,Q19087,free performance,Bertsolaristic performance without a theme-prompter,bertsolaristic performance without a theme-prompter,Q19087,honen azpiklase: bertso saio,,Q8392
testu,,Q19087,Q19109,Q234460,Q8371,"Bertsoaren osagai linguistikoa, inongo elementu prosodiko, paralinguistiko, extralinguistiko, musikal gabea eta testuinguruaz banandua","bertsoaren osagai linguistikoa, inongo elementu prosodiko, paralinguistiko, extralinguistiko, musikal gabea eta testuinguruaz banandua",Q19111,texto,"El componente lingüístico del bertso, desprovisto de sus elementos prosódicos, paralingüísticos, extralingüísticos, contextuales y musicales","el componente lingüístico del bertso, desprovisto de sus elementos prosódicos, paralingüísticos, extralingüísticos, contextuales y musicales",Q19087,texte,"La composante linguistique du bertso, dépourvu de ses éléments prosodiques, para-linguistiques, extra-linguistiques, contextuels et musicaux","la composante linguistique du bertso, dépourvu de ses éléments prosodiques, para-linguistiques, extra-linguistiques, contextuels et musicaux",Q19087,text,"The linguistic component of the bertso, stripped of its prosodic, paralinguistic, extralinguistic, contextual and musical elements","the linguistic component of the bertso, stripped of its prosodic, paralinguistic, extralinguistic, contextual and musical elements",Q19087,honen parte: bertso,Q8387,
testuinguru,,Q19087,Q19110,,Q8371,Testua bera inguratzen duten elementuen multzoa,testua bera inguratzen duten elementuen multzoa,Q19111,contexto,"Conjunto de elementos que rodean al texto propiamente dicho","conjunto de elementos que rodean al texto propiamente dicho",Q19087,contexte,Ensemble d'éléments entourant le texte proprement dit,ensemble d'éléments entourant le texte proprement dit,Q19087,context,The set of elements which surrounds the text itself,the set of elements which surrounds the text itself,Q19087,honen parte: bertso,Q8387,
ziri bertso,ziri-bertso,Q19088,Q8452,,Q8371,Bertso satirikoa,bertso satirikoa,Q19088,"ziri bertso, ziri-bertso",Bertso satírico,bertso satírico,Q19111,"ziri bertso, ziri-bertso",Bertso satirique,bertso satirique,Q19111,"ziri bertso, ziri-bertso",Satirical bertso,satirical bertso,Q19111,honen azpiklase: bertso,,Q8387
zortziko,,Q19088,Q8453,Q3325918,Q8371,Zortzi lerro eta lau puntu dituen euskal bertso mota,zortzi lerro eta lau puntu dituen euskal bertso mota,Q19088,zortziko,Bertso de ocho lineas y cuatro puntos,bertso de ocho lineas y cuatro puntos,Q19111,zortziko,Bertso de huit lignes et quatre points,bertso de huit lignes et quatre points,Q19111,zortziko,Bertso made up of eight lines and four puntus,bertso made up of eight lines and four puntus,Q19111,honen azpiklase: neurri,,Q1751
zortziko handi,zortziko nagusi,Q19087|Q19088,Q8454,Q16519331,Q8371,"Euskal bertso mota, 10 eta 8 silabako zortzi lerroz osatua dena eta 8 silabako lerroetan puntua duena","euskal bertso mota, 10 eta 8 silabako zortzi lerroz osatua dena eta 8 silabako lerroetan puntua duena",Q19088,zortziko mayor,"Bertso de cuatro puntos, cada uno de los cuales consta de 18 sílabas, generalmente transcritas en dos líneas de 10 y 8 sílabas respectivamente","bertso de cuatro puntos, cada uno de los cuales consta de 18 sílabas, generalmente transcritas en dos líneas de 10 y 8 sílabas respectivamente",Q19087,zortziko majeur,"Bertso de quatre points, comptant chacun dix huit syllabes, généralement transcrites sur deux lignes de dix et huit syllabes respectivement","bertso de quatre points, comptant chacun dix huit syllabes, généralement transcrites sur deux lignes de dix et huit syllabes respectivement",Q19087,zortziko handia,"Bertso made up of four puntus, each with 18 syllables generally transcribed in two lines of 10 and 8 syllables respectively","bertso made up of four puntus, each with 18 syllables generally transcribed in two lines of 10 and 8 syllables respectively",Q19087,honen azpiklase: zortziko,,Q8453
zortziko txiki,zortziko txiki,Q19087|Q19088,Q8455,Q16519334,Q8371,"Euskal bertso mota, 7 eta 6 silabako zortzi lerroz osatua dena eta 6 silabako lerroetan puntua duena","euskal bertso mota, 7 eta 6 silabako zortzi lerroz osatua dena eta 6 silabako lerroetan puntua duena",Q19088,zortziko menor,"Bertso de cuatro puntos, cada uno de los cuales consta de 13 sílabas, generalmente transcritas en dos líneas de 7 y 6 sílabas respectivamente","bertso de cuatro puntos, cada uno de los cuales consta de 13 sílabas, generalmente transcritas en dos líneas de 7 y 6 sílabas respectivamente",Q19087,zortziko mineur,"Bertso de quatre points, comptant chacun treize syllabes, généralement transcrites sur deux lignes (bertso lerro) de sept et six syllabes respectivement","bertso de quatre points, comptant chacun treize syllabes, généralement transcrites sur deux lignes (bertso lerro) de sept et six syllabes respectivement",Q19087,zortziko txikia,"Bertso made up of four puntus, each with 13 syllables transcribed in two lines (bertso lerro) of 7 and 6 syllables respectively","bertso made up of four puntus, each with 13 syllables transcribed in two lines (bertso lerro) of 7 and 6 syllables respectively",Q19087,honen azpiklase: zortziko,,Q8453
