"wikidata"	"wikidatalink"	"source_page"	"instance_of"	"part_of"	"subclass_of"	"eu"	"eu_wikipedia"	"es"	"es_wikipedia"	"en"	"en_wikipedia"	"fr"	"fr_wikipedia"	"it"	"it_wikipedia"	"de"	"de_wikipedia"
"Q948647"	"https://wikidata.org/wiki/Q948647"	"Neuroanatomía"	"https://wikidata.org/wiki/Q11862829"	"https://wikidata.org/wiki/Q514
https://wikidata.org/wiki/Q207011
https://wikidata.org/wiki/Q2728012"	""			"neuroanatomía"	"https://es.wikipedia.org/wiki/Neuroanatomía"	"neuroanatomy"	"https://en.wikipedia.org/wiki/Neuroanatomy"	"neuroanatomie"	"https://fr.wikipedia.org/wiki/Neuroanatomie"	"neuroanatomia"	"https://it.wikipedia.org/wiki/Neuroanatomia"	"Neuroanatomie"	"https://de.wikipedia.org/wiki/Neuroanatomie"	
"Q208376"	"https://wikidata.org/wiki/Q208376"	"Tomografía por emisión de positrones"	"https://wikidata.org/wiki/Q2671652
https://wikidata.org/wiki/Q2695280"	""	"https://wikidata.org/wiki/Q841267"	"Positroi-igorpenaren bidezko tomografia"	"https://eu.wikipedia.org/wiki/Positroi-igorpenaren_bidezko_tomografia"	"Tomografía por emisión de positrones"	"https://es.wikipedia.org/wiki/Tomografía_por_emisión_de_positrones"	"positron emission tomography"	"https://en.wikipedia.org/wiki/Positron_emission_tomography"	"tomographie par émission de positons"	"https://fr.wikipedia.org/wiki/Tomographie_par_émission_de_positons"	"tomografia a emissione di positroni"	"https://it.wikipedia.org/wiki/Tomografia_a_emissione_di_positroni"	"Positronen-Emissions-Tomographie"	"https://de.wikipedia.org/wiki/Positronen-Emissions-Tomographie"	
"Q161238"	"https://wikidata.org/wiki/Q161238"	"Imagen por resonancia magnética"	"https://wikidata.org/wiki/Q2671652"	""	"https://wikidata.org/wiki/Q931309
https://wikidata.org/wiki/Q28946191"	"erresonantzia magnetiko bidezko irudigintza"	"https://eu.wikipedia.org/wiki/Erresonantzia_magnetiko_bidezko_irudigintza"	"imagen por resonancia magnética"	"https://es.wikipedia.org/wiki/Imagen_por_resonancia_magnética"	"magnetic resonance imaging"	"https://en.wikipedia.org/wiki/Magnetic_resonance_imaging"	"imagerie par résonance magnétique"	"https://fr.wikipedia.org/wiki/Imagerie_par_résonance_magnétique"	"imaging a risonanza magnetica"	"https://it.wikipedia.org/wiki/Imaging_a_risonanza_magnetica"	"Magnetresonanztomographie"	"https://de.wikipedia.org/wiki/Magnetresonanztomographie"	
"Q162657"	"https://wikidata.org/wiki/Q162657"	"Neurotransmisor"	""	""	"https://wikidata.org/wiki/Q420168"	"Neurotransmisore"	"https://eu.wikipedia.org/wiki/Neurotransmisore"	"neurotransmisor"	"https://es.wikipedia.org/wiki/Neurotransmisor"	"neurotransmitter"	"https://en.wikipedia.org/wiki/Neurotransmitter"	"neurotransmetteur"	"https://fr.wikipedia.org/wiki/Neurotransmetteur"	"neurotrasmettitore"	"https://it.wikipedia.org/wiki/Neurotrasmettitore"	"Neurotransmitter"	"https://de.wikipedia.org/wiki/Neurotransmitter"	
"Q170304"	"https://wikidata.org/wiki/Q170304"	"Dopamina"	""	""	""													
"Q1319792"	"https://wikidata.org/wiki/Q1319792"	"Cuerpo estriado"	"https://wikidata.org/wiki/Q1620186
https://wikidata.org/wiki/Q112826905"	"https://wikidata.org/wiki/Q464210"	"https://wikidata.org/wiki/Q66590303
https://wikidata.org/wiki/Q66572847
https://wikidata.org/wiki/Q112826975"	"Gorputz ildaskatu"	"https://eu.wikipedia.org/wiki/Gorputz_ildaskatu"	"cuerpo estriado"	"https://es.wikipedia.org/wiki/Cuerpo_estriado"	"striatum"	"https://en.wikipedia.org/wiki/Striatum"	"striatum"	"https://fr.wikipedia.org/wiki/Striatum"	"striato"	"https://it.wikipedia.org/wiki/Striato"	"Striatum"	"https://de.wikipedia.org/wiki/Striatum"	
"Q162657"	"https://wikidata.org/wiki/Q162657"	"Neurotransmisor"	""	""	""													
"Q167934"	"https://wikidata.org/wiki/Q167934"	"Serotonina"	""	""	""													
"Q1182555"	"https://wikidata.org/wiki/Q1182555"	"Red neuronal por defecto"	"https://wikidata.org/wiki/Q25304076"	""	""			"red neuronal por defecto"	"https://es.wikipedia.org/wiki/Red_neuronal_por_defecto"	"default network"	"https://en.wikipedia.org/wiki/Default_mode_network"	"réseau du mode par défaut"	"https://fr.wikipedia.org/wiki/Réseau_du_mode_par_défaut"	"default network"	"https://it.wikipedia.org/wiki/Default_mode_network"	"Default Mode Network"	"https://de.wikipedia.org/wiki/Default_Mode_Network"	
"Q5298764"	"https://wikidata.org/wiki/Q5298764"	"Red neuronal orientada a tareas"	""	""	""			"Red neuronal orientada a tareas"	"https://es.wikipedia.org/wiki/Red_neuronal_orientada_a_tareas"	"Dorsal attention network"	"https://en.wikipedia.org/wiki/Dorsal_attention_network"			"Dorsal attention network"	"https://it.wikipedia.org/wiki/Dorsal_attention_network"			
"Q37525"	"https://wikidata.org/wiki/Q37525"	"Glucosa"	"https://wikidata.org/wiki/Q15711994"	"https://wikidata.org/wiki/Q14863057
https://wikidata.org/wiki/Q14758903
https://wikidata.org/wiki/Q14907693
https://wikidata.org/wiki/Q191835
https://wikidata.org/wiki/Q14864022
https://wikidata.org/wiki/Q22281809
https://wikidata.org/wiki/Q22275617
https://wikidata.org/wiki/Q22275673
https://wikidata.org/wiki/Q22281915
https://wikidata.org/wiki/Q22281913
https://wikidata.org/wiki/Q22275664
https://wikidata.org/wiki/Q22275666
https://wikidata.org/wiki/Q22275677
https://wikidata.org/wiki/Q21095676
https://wikidata.org/wiki/Q22275634
https://wikidata.org/wiki/Q22275633
https://wikidata.org/wiki/Q22281927
https://wikidata.org/wiki/Q14859859
https://wikidata.org/wiki/Q22283268
https://wikidata.org/wiki/Q14887301
https://wikidata.org/wiki/Q22324754
https://wikidata.org/wiki/Q15318080
https://wikidata.org/wiki/Q21972891
https://wikidata.org/wiki/Q22324767
https://wikidata.org/wiki/Q14887304
https://wikidata.org/wiki/Q22291673
https://wikidata.org/wiki/Q14863062
https://wikidata.org/wiki/Q22281920
https://wikidata.org/wiki/Q14758934"	"https://wikidata.org/wiki/Q1077067"	"glukosa"	"https://eu.wikipedia.org/wiki/Glukosa"	"glucosa"	"https://es.wikipedia.org/wiki/Glucosa"	"glucose"	"https://en.wikipedia.org/wiki/Glucose"	"glucose"	"https://fr.wikipedia.org/wiki/Glucose"	"glucosio"	"https://it.wikipedia.org/wiki/Glucosio"	"Glucose"	"https://de.wikipedia.org/wiki/Glucose"	
"Q47273"	"https://wikidata.org/wiki/Q47273"	"Sistema nervioso central"	"https://wikidata.org/wiki/Q103812529
https://wikidata.org/wiki/Q112826905"	"https://wikidata.org/wiki/Q9404"	"https://wikidata.org/wiki/Q9404
https://wikidata.org/wiki/Q66545296
https://wikidata.org/wiki/Q112826975"	"Nerbio-sistema zentral"	"https://eu.wikipedia.org/wiki/Nerbio-sistema_zentral"	"sistema nervioso central"	"https://es.wikipedia.org/wiki/Sistema_nervioso_central"	"central nervous system"	"https://en.wikipedia.org/wiki/Central_nervous_system"	"système nerveux central"	"https://fr.wikipedia.org/wiki/Système_nerveux_central"	"sistema nervoso centrale"	"https://it.wikipedia.org/wiki/Sistema_nervoso_centrale"	"Zentralnervensystem"	"https://de.wikipedia.org/wiki/Zentralnervensystem"	
"Q211171"	"https://wikidata.org/wiki/Q211171"	"Bifenilos policlorados"	"https://wikidata.org/wiki/Q55640599"	""	"https://wikidata.org/wiki/Q426809"	"Bifenilo polikloratu"	"https://eu.wikipedia.org/wiki/Bifenilo_polikloratu"	"bifenilos policlorados"	"https://es.wikipedia.org/wiki/Bifenilos_policlorados"	"polychlorinated biphenyl"	"https://en.wikipedia.org/wiki/Polychlorinated_biphenyl"	"polychlorobiphényle"	"https://fr.wikipedia.org/wiki/Polychlorobiphényle"	"policlorobifenili"	"https://it.wikipedia.org/wiki/Policlorobifenili"	"Polychlorierte Biphenyle"	"https://de.wikipedia.org/wiki/Polychlorierte_Biphenyle"	
"Q79793"	"https://wikidata.org/wiki/Q79793"	"Sarampión"	"https://wikidata.org/wiki/Q18123741
https://wikidata.org/wiki/Q314676
https://wikidata.org/wiki/Q112965645"	""	"https://wikidata.org/wiki/Q18975514
https://wikidata.org/wiki/Q1928978"	"Elgorri"	"https://eu.wikipedia.org/wiki/Elgorri"	"Sarampión"	"https://es.wikipedia.org/wiki/Sarampión"	"measles"	"https://en.wikipedia.org/wiki/Measles"	"rougeole"	"https://fr.wikipedia.org/wiki/Rougeole"	"morbillo"	"https://it.wikipedia.org/wiki/Morbillo"	"Masern"	"https://de.wikipedia.org/wiki/Masern"	
"Q44727"	"https://wikidata.org/wiki/Q44727"	"Varicela"	"https://wikidata.org/wiki/Q18123741
https://wikidata.org/wiki/Q112193867
https://wikidata.org/wiki/Q112965645"	""	"https://wikidata.org/wiki/Q1928978
https://wikidata.org/wiki/Q2458539
https://wikidata.org/wiki/Q55779917
https://wikidata.org/wiki/Q18975237
https://wikidata.org/wiki/Q12136"	"Barizela"	"https://eu.wikipedia.org/wiki/Astanafarreri"	"varicela"	"https://es.wikipedia.org/wiki/Varicela"	"chickenpox"	"https://en.wikipedia.org/wiki/Chickenpox"	"varicelle"	"https://fr.wikipedia.org/wiki/Varicelle"	"varicella"	"https://it.wikipedia.org/wiki/Varicella"	"Windpocken"	"https://de.wikipedia.org/wiki/Windpocken"	
"Q11088"	"https://wikidata.org/wiki/Q11088"	"Celiaquía"	"https://wikidata.org/wiki/Q112193867
https://wikidata.org/wiki/Q112965645"	""	"https://wikidata.org/wiki/Q18553608
https://wikidata.org/wiki/Q1367782
https://wikidata.org/wiki/Q12136"	"gaixotasun zeliako"	"https://eu.wikipedia.org/wiki/Gaixotasun_zeliako"	"celiaquía"	"https://es.wikipedia.org/wiki/Celiaquía"	"celiac disease"	"https://en.wikipedia.org/wiki/Coeliac_disease"	"maladie cœliaque"	"https://fr.wikipedia.org/wiki/Maladie_cœliaque"	"celiachia"	"https://it.wikipedia.org/wiki/Celiachia"	"Zöliakie"	"https://de.wikipedia.org/wiki/Zöliakie"	
"Q19772377"	"https://wikidata.org/wiki/Q19772377"	"Sensibilidad al gluten no celíaca"	"https://wikidata.org/wiki/Q12136
https://wikidata.org/wiki/Q53677690"	""	"https://wikidata.org/wiki/Q1367782"			"sensibilidad al gluten no celíaca"	"https://es.wikipedia.org/wiki/Sensibilidad_al_gluten_no_celíaca"	"non-celiac gluten sensitivity"	"https://en.wikipedia.org/wiki/Non-celiac_gluten_sensitivity"	"intolérance au gluten non cœliaque"	"https://fr.wikipedia.org/wiki/Sensibilité_non_cœliaque_au_gluten"			"Nicht-Zöliakie-Nicht-Weizenallergie-Weizensensitivität"	"https://de.wikipedia.org/wiki/Nicht-Zöliakie-Weizensensitivität"	
"Q2632776"	"https://wikidata.org/wiki/Q2632776"	"Dieta sin gluten"	""	""	"https://wikidata.org/wiki/Q474191"			"dieta sin gluten"	"https://es.wikipedia.org/wiki/Dieta_sin_gluten"	"gluten-free diet"	"https://en.wikipedia.org/wiki/Gluten-free_diet"	"régime sans gluten"	"https://fr.wikipedia.org/wiki/Régime_sans_gluten"	"dieta senza glutine"		"glutenfreie Diät"		
"Q188251"	"https://wikidata.org/wiki/Q188251"	"Gluten"	"https://wikidata.org/wiki/Q84467700
https://wikidata.org/wiki/Q131790"	"https://wikidata.org/wiki/Q2249305
https://wikidata.org/wiki/Q25323983
https://wikidata.org/wiki/Q10658708"	"https://wikidata.org/wiki/Q8054"	"Gluten"	"https://eu.wikipedia.org/wiki/Gluten"	"gluten"	"https://es.wikipedia.org/wiki/Gluten"	"gluten"	"https://en.wikipedia.org/wiki/Gluten"	"gluten"	"https://fr.wikipedia.org/wiki/Gluten"	"glutine"	"https://it.wikipedia.org/wiki/Glutine"	"Gluten"	"https://de.wikipedia.org/wiki/Gluten"	
"Q458"	"https://wikidata.org/wiki/Q458"	"Unión Europea"	"https://wikidata.org/wiki/Q4120211
https://wikidata.org/wiki/Q120121699
https://wikidata.org/wiki/Q1335818
https://wikidata.org/wiki/Q170156"	"https://wikidata.org/wiki/Q8932"	""	"Europar Batasuna"	"https://eu.wikipedia.org/wiki/Europar_Batasuna"	"Unión Europea"	"https://es.wikipedia.org/wiki/Unión_Europea"	"European Union"	"https://en.wikipedia.org/wiki/European_Union"	"Union européenne"	"https://fr.wikipedia.org/wiki/Union_européenne"	"Unione europea"	"https://it.wikipedia.org/wiki/Unione_europea"	"Europäische Union"	"https://de.wikipedia.org/wiki/Europäische_Union"	
"Q204711"	"https://wikidata.org/wiki/Q204711"	"Administración de Alimentos y Medicamentos"	"https://wikidata.org/wiki/Q20857065
https://wikidata.org/wiki/Q30234158"	"https://wikidata.org/wiki/Q942326"	""	"Droga eta Elikagaien Administrazioa"	"https://eu.wikipedia.org/wiki/Elikagai_eta_Sendagaien_Administrazioa"	"Administración de Alimentos y Medicamentos"	"https://es.wikipedia.org/wiki/Administración_de_Alimentos_y_Medicamentos"	"Food and Drug Administration"	"https://en.wikipedia.org/wiki/Food_and_Drug_Administration"	"Food and Drug Administration"	"https://fr.wikipedia.org/wiki/Food_and_Drug_Administration"	"Food and Drug Administration"	"https://it.wikipedia.org/wiki/Food_and_Drug_Administration"	"Food and Drug Administration"	"https://de.wikipedia.org/wiki/Food_and_Drug_Administration"	
"Q6132610"	"https://wikidata.org/wiki/Q6132610"	"Russell Barkley"	"https://wikidata.org/wiki/Q5"	""	""			"Russell Barkley"	"https://es.wikipedia.org/wiki/Russell_Barkley"	"Russell Barkley"	"https://en.wikipedia.org/wiki/Russell_Barkley"	"Russell Barkley"	"https://fr.wikipedia.org/wiki/Russell_Barkley"	"Russell Barkley"	"https://it.wikipedia.org/wiki/Russell_Barkley"	"Russell Barkley"	"https://de.wikipedia.org/wiki/Russell_A._Barkley"	
"Q6132610"	"https://wikidata.org/wiki/Q6132610"	"Russell Barkley"	""	""	""													
"Q16642299"	"https://wikidata.org/wiki/Q16642299"	"Trastorno de la Inhibición Conductual"	""	""	""			"Trastorno de la Inibición Conductual"	"https://es.wikipedia.org/wiki/Trastorno_de_la_Inhibición_Conductual"									
"Q3087172"	"https://wikidata.org/wiki/Q3087172"	"Trastorno del desarrollo"	"https://wikidata.org/wiki/Q112193867"	""	"https://wikidata.org/wiki/Q12135
https://wikidata.org/wiki/Q1142806
https://wikidata.org/wiki/Q12136"	"garapenaren nahasmendu"		"trastorno del desarrollo"	"https://es.wikipedia.org/wiki/Trastorno_del_desarrollo"	"developmental disorder"	"https://en.wikipedia.org/wiki/Developmental_disorder"	"trouble du développement"	"https://fr.wikipedia.org/wiki/Trouble_du_développement"	"disturbo dello sviluppo"	"https://it.wikipedia.org/wiki/Disturbo_dello_sviluppo"			
"Q41630"	"https://wikidata.org/wiki/Q41630"	"Psicoanálisis"	"https://wikidata.org/wiki/Q1047113
https://wikidata.org/wiki/Q179661"	""	"https://wikidata.org/wiki/Q7867
https://wikidata.org/wiki/Q9418"	"Psikoanalisia"	"https://eu.wikipedia.org/wiki/Psikoanalisi"	"psicoanálisis"	"https://es.wikipedia.org/wiki/Psicoanálisis"	"psychoanalysis"	"https://en.wikipedia.org/wiki/Psychoanalysis"	"psychanalyse"	"https://fr.wikipedia.org/wiki/Psychanalyse"	"psicoanalisi"	"https://it.wikipedia.org/wiki/Psicoanalisi"	"Psychoanalyse"	"https://de.wikipedia.org/wiki/Psychoanalyse"	
"Q582667"	"https://wikidata.org/wiki/Q582667"	"Antipsiquiatría"	"https://wikidata.org/wiki/Q2738074"	""	"https://wikidata.org/wiki/Q23037921"	"antipsikiatria"		"antipsiquiatría"	"https://es.wikipedia.org/wiki/Antipsiquiatría"	"anti-psychiatry"	"https://en.wikipedia.org/wiki/Anti-psychiatry"	"antipsychiatrie"	"https://fr.wikipedia.org/wiki/Antipsychiatrie"	"antipsichiatria"	"https://it.wikipedia.org/wiki/Antipsichiatria"	"Antipsychiatrie"	"https://de.wikipedia.org/wiki/Antipsychiatrie"	
"Q1820380"	"https://wikidata.org/wiki/Q1820380"	"Iglesia de la Cienciología"	"https://wikidata.org/wiki/Q163740"	""	""	"Zientziologiaren Eliza"	"https://eu.wikipedia.org/wiki/Zientziologiaren_Eliza"	"Iglesia de la Cienciología"	"https://es.wikipedia.org/wiki/Iglesia_de_la_Cienciología"	"Church of Scientology"	"https://en.wikipedia.org/wiki/Church_of_Scientology"	"Église de scientologie"	"https://fr.wikipedia.org/wiki/Église_de_scientologie"	"Church of Scientology"		"Scientology-Kirche"	"https://de.wikipedia.org/wiki/Scientology-Kirche"	
"Q131478"	"https://wikidata.org/wiki/Q131478"	"Der Spiegel"	"https://wikidata.org/wiki/Q41298"	""	""	"Der Spiegel"	"https://eu.wikipedia.org/wiki/Der_Spiegel"	"Der Spiegel"	"https://es.wikipedia.org/wiki/Der_Spiegel"	"Der Spiegel"	"https://en.wikipedia.org/wiki/Der_Spiegel"	"Der Spiegel"	"https://fr.wikipedia.org/wiki/Der_Spiegel"	"Der Spiegel"	"https://it.wikipedia.org/wiki/Der_Spiegel"	"Der Spiegel"	"https://de.wikipedia.org/wiki/Der_Spiegel"	
"Q97369465"	"https://wikidata.org/wiki/Q97369465"	"Constructo social"	""	""	""			"Constructo social"	"https://es.wikipedia.org/wiki/Constructo_social"									
"Q461076"	"https://wikidata.org/wiki/Q461076"	"Dopaminérgico"	""	""	"https://wikidata.org/wiki/Q73112927"	"dopaminergiko"		"Dopaminérgico"	"https://es.wikipedia.org/wiki/Dopaminérgico"	"dopaminergic"	"https://en.wikipedia.org/wiki/Dopaminergic"	"médicament dopaminergique"				"Dopaminerg"	"https://de.wikipedia.org/wiki/Dopaminerg"	
"Q422112"	"https://wikidata.org/wiki/Q422112"	"Metilfenidato"	""	""	""													
"Q783092"	"https://wikidata.org/wiki/Q783092"	"Función ejecutiva (neuropsicología)"	"https://wikidata.org/wiki/Q1969448"	"https://wikidata.org/wiki/Q77468620"	"https://wikidata.org/wiki/Q16887380
https://wikidata.org/wiki/Q3736076"			"función ejecutiva"	"https://es.wikipedia.org/wiki/Función_ejecutiva_(neuropsicología)"	"executive functions"	"https://en.wikipedia.org/wiki/Executive_functions"	"fonctions exécutives"	"https://fr.wikipedia.org/wiki/Fonctions_exécutives"	"funzioni esecutive"	"https://it.wikipedia.org/wiki/Funzioni_esecutive"	"exekutive Funktionen"	"https://de.wikipedia.org/wiki/Exekutive_Funktionen"	
"Q11337567"	"https://wikidata.org/wiki/Q11337567"	"Memoria de trabajo"	"https://wikidata.org/wiki/Q27555265"	"https://wikidata.org/wiki/Q77468620"	"https://wikidata.org/wiki/Q492"			"Memoria de trabajo"	"https://es.wikipedia.org/wiki/Memoria_de_trabajo"	"working memory"	"https://en.wikipedia.org/wiki/Working_memory"	"mémoire de travail"	"https://fr.wikipedia.org/wiki/Mémoire_de_travail"			"Arbeitsgedächtnis"	"https://de.wikipedia.org/wiki/Arbeitsgedächtnis"	
"Q18733"	"https://wikidata.org/wiki/Q18733"	"Recuperación (memoria)"	""	"https://wikidata.org/wiki/Q492"	"https://wikidata.org/wiki/Q781413
https://wikidata.org/wiki/Q282250"	"Oroitzapen"	"https://eu.wikipedia.org/wiki/Oroitzapen"	"recuperación"	"https://es.wikipedia.org/wiki/Recuperación_(memoria)"	"recall"	"https://en.wikipedia.org/wiki/Recall_(memory)"	"souvenir"	"https://fr.wikipedia.org/wiki/Souvenir_(mémoire)"	"ricordo"		"Erinnerungsvermögen"	"https://de.wikipedia.org/wiki/Erinnerungsvermögen"	
"Q1328833"	"https://wikidata.org/wiki/Q1328833"	"Trastorno negativista desafiante"	""	""	""													
"Q154430"	"https://wikidata.org/wiki/Q154430"	"Ansiedad"	""	""	""													
"Q154430"	"https://wikidata.org/wiki/Q154430"	"Ansiedad"	""	""	""													
"Q4340209"	"https://wikidata.org/wiki/Q4340209"	"Depresión"	""	""	""													
"Q131755"	"https://wikidata.org/wiki/Q131755"	"Trastorno bipolar"	"https://wikidata.org/wiki/Q112193867"	""	"https://wikidata.org/wiki/Q188638"	"desoreka bipolar"	"https://eu.wikipedia.org/wiki/Desoreka_bipolar"	"trastorno bipolar"	"https://es.wikipedia.org/wiki/Trastorno_bipolar"	"bipolar disorder"	"https://en.wikipedia.org/wiki/Bipolar_disorder"	"trouble bipolaire"	"https://fr.wikipedia.org/wiki/Trouble_bipolaire"	"disturbo bipolare"	"https://it.wikipedia.org/wiki/Disturbo_bipolare"	"bipolare Störung"	"https://de.wikipedia.org/wiki/Bipolare_Störung"	
"Q3184856"	"https://wikidata.org/wiki/Q3184856"	"Abuso de sustancias"	"https://wikidata.org/wiki/Q112193867"	""	"https://wikidata.org/wiki/Q1920219
https://wikidata.org/wiki/Q110207349
https://wikidata.org/wiki/Q83267
https://wikidata.org/wiki/Q61788060"	"erabilera kaltegarri"	"https://eu.wikipedia.org/wiki/Substantzien_abusu"	"abuso de sustancias"	"https://es.wikipedia.org/wiki/Abuso_de_sustancias"	"substance abuse"	"https://en.wikipedia.org/wiki/Substance_abuse"	"abus de substances"	"https://fr.wikipedia.org/wiki/Abus_de_substances"	"abuso di sostanze"		"Drogenmissbrauch"		
"Q1414874"	"https://wikidata.org/wiki/Q1414874"	"Comorbilidad"	""	""	""													
"Q738538"	"https://wikidata.org/wiki/Q738538"	"Tic"	"https://wikidata.org/wiki/Q1441305
https://wikidata.org/wiki/Q112965645"	""	"https://wikidata.org/wiki/Q1441305"	"tik"		"tic"	"https://es.wikipedia.org/wiki/Tic"	"tic"	"https://en.wikipedia.org/wiki/Tic"	"tic"	"https://fr.wikipedia.org/wiki/Tic"	"tic"	"https://it.wikipedia.org/wiki/Tic_(medicina)"	"Tic"	"https://de.wikipedia.org/wiki/Tic"	
"Q41571"	"https://wikidata.org/wiki/Q41571"	"Epilepsia"	"https://wikidata.org/wiki/Q112193867
https://wikidata.org/wiki/Q20088085"	""	"https://wikidata.org/wiki/Q576349
https://wikidata.org/wiki/Q12136"	"epilepsia"	"https://eu.wikipedia.org/wiki/Epilepsia"	"epilepsia"	"https://es.wikipedia.org/wiki/Epilepsia"	"epilepsy"	"https://en.wikipedia.org/wiki/Epilepsy"	"épilepsie"	"https://fr.wikipedia.org/wiki/Épilepsie"	"epilessia"	"https://it.wikipedia.org/wiki/Epilessia"	"Epilepsie"	"https://de.wikipedia.org/wiki/Epilepsie"	
"Q11088"	"https://wikidata.org/wiki/Q11088"	"Celiaquía"	""	""	""													
"Q1414874"	"https://wikidata.org/wiki/Q1414874"	"Comorbilidad"	""	""	""													
"Q1328833"	"https://wikidata.org/wiki/Q1328833"	"Trastorno negativista desafiante"	""	""	""													
"Q4340209"	"https://wikidata.org/wiki/Q4340209"	"Depresión"	""	""	""													
"Q131755"	"https://wikidata.org/wiki/Q131755"	"Trastorno bipolar"	""	""	""													
"Q6692974"	"https://wikidata.org/wiki/Q6692974"	"Teoría de la baja excitación"	""	""	""			"Teoría de la baja excitación"	"https://es.wikipedia.org/wiki/Teoría_de_la_baja_excitación"	"Low arousal theory"	"https://en.wikipedia.org/wiki/Low_arousal_theory"	"théorie de la faible excitation"	"https://fr.wikipedia.org/wiki/Théorie_de_la_faible_excitation"					
"Q7817"	"https://wikidata.org/wiki/Q7817"	"Organización Mundial de la Salud"	"https://wikidata.org/wiki/Q15925165
https://wikidata.org/wiki/Q45400320
https://wikidata.org/wiki/Q484652
https://wikidata.org/wiki/Q96888669"	""	""	"Osasunaren Mundu Erakundea"	"https://eu.wikipedia.org/wiki/Munduko_Osasun_Erakundea"	"Organización Mundial de la Salud"	"https://es.wikipedia.org/wiki/Organización_Mundial_de_la_Salud"	"World Health Organization"	"https://en.wikipedia.org/wiki/World_Health_Organization"	"Organisation mondiale de la santé"	"https://fr.wikipedia.org/wiki/Organisation_mondiale_de_la_santé"	"Organizzazione Mondiale della Sanità"	"https://it.wikipedia.org/wiki/Organizzazione_mondiale_della_sanità"	"Weltgesundheitsorganisation"	"https://de.wikipedia.org/wiki/Weltgesundheitsorganisation"	
"Q156318"	"https://wikidata.org/wiki/Q156318"	"Etiología"	""	""	"https://wikidata.org/wiki/Q11862829"	"Etiologia"	"https://eu.wikipedia.org/wiki/Etiologia"	"etiología"	"https://es.wikipedia.org/wiki/Etiología"	"etiology"	"https://en.wikipedia.org/wiki/Etiology"	"étiologie"	"https://fr.wikipedia.org/wiki/Étiologie"	"eziologia"	"https://it.wikipedia.org/wiki/Eziologia"	"Ätiologie"		
"Q917426"	"https://wikidata.org/wiki/Q917426"	"Clasificación internacional del funcionamiento, de la discapacidad y de la salud"	"https://wikidata.org/wiki/Q3518464"	""	""	"Funtzionamenduaren, Desgaitasunaren eta Osasunaren Nazioarteko Sailkapena"	"https://eu.wikipedia.org/wiki/Funtzionamenduaren,_Desgaitasunaren_eta_Osasunaren_Nazioarteko_Sailkapena"	"Clasificación internacional del funcionamiento, de la discapacidad y de la salud"	"https://es.wikipedia.org/wiki/Clasificación_internacional_del_funcionamiento,_de_la_discapacidad_y_de_la_salud"	"International Classification of Functioning, Disability and Health"	"https://en.wikipedia.org/wiki/International_Classification_of_Functioning,_Disability_and_Health"	"Classification internationale du Fonctionnement, du handicap et de la santé"	"https://fr.wikipedia.org/wiki/Classification_internationale_du_Fonctionnement,_du_handicap_et_de_la_santé"	"International Classification of Functioning, Disability and Health"	"https://it.wikipedia.org/wiki/Classificazione_internazionale_del_funzionamento,_della_disabilità_e_della_salute"	"Internationale Klassifikation zur Beschreibung der Funktionsfähigkeit des Menschen und deren Einschränkung"	"https://de.wikipedia.org/wiki/International_Classification_of_Functioning,_Disability_and_Health"	
"Q13100823"	"https://wikidata.org/wiki/Q13100823"	"Calidad de vida"	"https://wikidata.org/wiki/Q151885"	""	"https://wikidata.org/wiki/Q185957
https://wikidata.org/wiki/Q853725"	"Bizi-kalitate"	"https://eu.wikipedia.org/wiki/Bizi-kalitate"	"calidad de vida"	"https://es.wikipedia.org/wiki/Calidad_de_vida"	"quality of life"	"https://en.wikipedia.org/wiki/Quality_of_life"	"qualité de vie"	"https://fr.wikipedia.org/wiki/Qualité_de_vie"	"qualità di vita"	"https://it.wikipedia.org/wiki/Qualità_di_vita"	"Lebensqualität"	"https://de.wikipedia.org/wiki/Lebensqualität"	
"Q837512"	"https://wikidata.org/wiki/Q837512"	"Diagnóstico diferencial"	""	""	"https://wikidata.org/wiki/Q177719"	"diagnostiko diferentzial"		"diagnóstico diferencial"	"https://es.wikipedia.org/wiki/Diagnóstico_diferencial"	"differential diagnosis"	"https://en.wikipedia.org/wiki/Differential_diagnosis"	"diagnostic différentiel"	"https://fr.wikipedia.org/wiki/Diagnostic_différentiel"	"diagnosi differenziale"	"https://it.wikipedia.org/wiki/Diagnosi_differenziale"	"Differentialdiagnose"	"https://de.wikipedia.org/wiki/Differenzialdiagnose"	
"Q183560"	"https://wikidata.org/wiki/Q183560"	"Discapacidad intelectual"	"https://wikidata.org/wiki/Q112193867"	""	"https://wikidata.org/wiki/Q7574983
https://wikidata.org/wiki/Q5141203
https://wikidata.org/wiki/Q12131
https://wikidata.org/wiki/Q12136"	"adimen-urritasun"	"https://eu.wikipedia.org/wiki/Adimen-urritasun"	"discapacidad cognitiva"	"https://es.wikipedia.org/wiki/Discapacidad_intelectual"	"intellectual disability"	"https://en.wikipedia.org/wiki/Intellectual_disability"	"handicap mental"	"https://fr.wikipedia.org/wiki/Handicap_mental"	"ritardo mentale"	"https://it.wikipedia.org/wiki/Disabilità_intellettiva"	"Geistige Behinderung"	"https://de.wikipedia.org/wiki/Geistige_Behinderung"	
"Q132971"	"https://wikidata.org/wiki/Q132971"	"Dislexia"	""	""	""													
