2986	Brennessel (Art); Heilpflanze (Art) des ecuadorianischen Regenwaldes; Brennessel; Chini - Brennessel (Art - Wildpflanze, die auf Feldern und in Gärten wächst, wird zu Aktivierung des Blutkreislaufs verwendet); Pflanze des Regenwalds (Art, Hauptnutzung: Medizin)	kind of nettle; kind of medicinal plant of the Ecuadorian jungle; nettle; chini - kind of nettle (wild plant that grows in the fields and gardens, activates blood circulation); kind of plant of the jungle (main use: medicinal)	especie de ortiga; especie de planta medicinal de la selva ecuatoriana; ortiga; chini - especie de ortiga (planta silvestre que crece en las chacras y los huertos, activa la circulación de la sangre); especie de planta de la selva (uso principal: medicina)
2987	nützlich; dienlich; brauchbar	useful	útil
2988	Minute	minute	minuto
2989	Raupe mit Brennhaaren	caterpillar with stinging hairs	oruga de pelos o espinas urticantes
2990	Heilpflanze (Art) des ecuadorianischen Regenwaldes, deren Blätter gegen Hautinfektionen durch Raupen mit Brennhaaren verwendet werden	kind of medicinal plant of the Ecuadorian jungle, whose young leaves are used against skin infections caused by stingy insect larvae	chinicuru paju panga; especie de planta medicinal de la selva ecuatoriana cuyas hojas tiernas se usan remedio natural para curar infecciones de la piel producidas por larvas o gusanos
2991	Sekunde	second	segundo
2992	Minute	minute	minuto
2993	Triangel	triangle	triángulo
2994	junge Frau; junge, alleinstehende Frau	young woman; young single woman	muchacha; mujer joven y soltera
2995	nesseln	to nettle	ortigar
2996	Verlust	loss	pérdida; extravío
2997	organisieren	to organize	organizar
2998	verlieren; verlegen (verlieren); irreführen; desorientieren	to lose; to mislay; to mislead; to disorient; to make lose	perder; extraviar; desorientar; hacer perder; hacer desaparecer
2999	entschwinden; sich verlieren; verschwinden	to disappear	desaparecer; evadirse; fugarse; perderse
3000	Versteckspiel	hide and seek (game)	perderse; escondite
3001	Höhle; Irrgarten; Labyrinth	cavern; labyrinth; maze	caverna; laberinto
3002	verschwinden	to disappear	desaparecer; extinguirse
3003	verschwunden; fehlend	disappeared; missing	desaparecido; evadido; prófugo
3004	verloren gehen	to get lost	perderse; desaparecer; desvanecerse; desmayarse
3005	verloren; verirrt; verlaufen; desorientiert	lost; disorientated	perdido; extraviado; desorientado
3006	Versteckspiel	hide and seek (game)	perderse; escondite
3007	sich wundern	to be surprised	aturdirse; ofuscarse
3008	verloren gehen; sich verirren; sich verlaufen; verschwinden	to get lost; to lose one's way; to disappear	perderse; desaparecer; extraviarse; desaparecer; evadir
3009	verlieren	to lose	perder
3010	sinken	to sink	caer; hundirse; sumergirse
3011	was verloren gehen kann	what can be lost	que puede perderse
3012	Palme (Art) des Regenwalds	kind of palm tree of the jungle	chingo; especie de palma
3013	klein	small	pequeño(a)
3014	Frühstück	breakfast	desayuno
3015	gegenübertreten; die Stirn bieten	to face; to step in front of	enfrentarse
3016	geneigt	bent down	inclinado; ladeado
3017	Seite	side	lado
3018	seitlich	lateral	lateral
3019	seitlich	lateral	lateral
3020	seitlich	collateral	colateral
3021	sich neigen	to bend down	ladearse; inclinarse
3022	sich zusammenziehen; einschrumpfen	to contract; to shrink	encogerse
3023	einander liebkosen (Tauben und andere Vögel)	to caress each other (pigeons and other birds)	acariciarse y regalarse las palomas con el pico y besarse; arrullarse
3024	Nessel; Brennessel	nettle	ortiga
3025	Fledermaus	bat	murciélago
3026	gleichseitiges Dreieck	equilateral triangle	triángulo equilátero
3027	Falle; Schraube	trap; screw	trampa; tornillo
3028	Grießmehlbrot mit Speckgrieben	semolina bread with greaves	pan de acemite con chicharrón; chipaco
3029	Handschellen	handcuff	grillete; esposas para maniatar a los reos; pulsera; brazalete
3030	Lid; Augenlid	lid; eyelid	párpado
3031	Kürbis (Art)	kind of pumpkin	especie de calabaza; variedad de calabaza
3032	Küken	chicken	pollo
3033	glitzern	to glitter	destellar
3034	Wimper	eye-lash	pestaña
3035	andines Sternbild des Affen	Monkey (Andean constellation)	constelación andina del Mono
3036	Affe	monkey	mono
3037	glänzen; strahlen; scheinen	to shine; to glance; to gleam; to glow; to light; to brighten	fulgurar; relucir; resplandecer; brillar
3038	blitzen; funkeln	to twinkle; to glitter	brillar; reverberar
3039	großäugig	big-eyed	ojon; ojona
3040	Buschpflanze; in großer Höhe wachsender Busch	bushy plant growing at high altitudes	arbusto que crece en gran altitud
3041	Mantisse	mantissa	mantisa
3042	betrunken	drunk	ebrio
3043	Pockennarbe	pockmark	cicatriz por viruela
3044	Küken	chick	polluelo; pollito
3045	kneifen	to pinch	pellizcar
3046	After	anus	ano
3047	klar; durchsichtig; sauber	clear; crystalline; clean; pure	cristalino; despejado; limpio
3048	aufklaren	to clear up	despejarse
3049	glänzen	to shine	relucir; brillar
3050	glänzen; scheinen; strahlen	to sparkle; to spark; to shine; to twinkle	brillar; chispear
3051	wahr; offensichtlich; positiv	true; certain; evident; positive	verdadero; cierto; evidente; veraz; positivo
3052	gerade; aufrecht; senkrecht; direkt	straight; upright; vertical; direct	derecho; recto; vertical; perpendicular; directo; derecho,a; recta,o
3053	Wahrheit	truth	verdad; evidencia; cierto; certeza
3054	historisches Volk im Gebiet von Waruchiri; Gemeinde am Fluss Lurín (Pachakamaq Mayu), in der Provinz Huarochiri (Departement Lima, Peru); (span.) San Damián de los Checa	ancient people in the region of Waruchiri; community on the Lurín river (Pachakamaq Mayu), in the province of Huarochiri (Department of Lima, Peru); (Span.) San Damián de los Checa	pueblo antiguo en la región de Waruchiri; comunidad a orillas del río Lurín (Pachakamaq Mayu), en la provincia de Huarochirí (departamento de Lima, Perú); (esp.) San Damián de los Checa
3055	sich rechtfertigen	to justify oneself	justificarse
3056	geraderichten; aufrichten; ordnen; aufräumen; klären; rechtfertigen	to put in order; to set in order; to clear; to clarify; to justify; to vindicate	enderezar; ordenar; aclarar; rectificar; justificar
3057	aneinandergereiht (Bauern in der Inkazeit); in einer Reihe (Bauern in der Inkazeit)	lined up in a row (peasants in Inka times)	alineado en orden por ringleros parejos sin salir uno de otro (labradores en el tiempo Inka)
3058	wahrlich; wirklich; gewiss	truly; really; certainly	verdaderamente; realmente; ciertamente
3059	direkt	directly	rectamente; verticalmente; perpendicularmente; directamente
3060	wirklich; gewiss	really; certainly	realmente; ciertamente
3061	gerecht	just	equitativo
3062	diagonal	diagonal	diagonal
3063	genau	exact	exacto
3064	vollkommen; völlig	totally; perfectly; truly; verily	cumplidamente; perfectamente
3065	sehr feines, dünnes und weiches Tuch	very fine, thin and soft cloth	paño fino, muy delgado y suave 
3066	genau	exactly	exactamente
3067	genau	exactly	exactamente
3068	gerade; aufrecht; senkrecht; direkt; gerecht	straight; upright; vertical; direct; straight; just	derecho; recto; vertical; perpendicular; directo; justo
3069	legal	legal	legal
3070	Abschnitt; Glied; Segment	segment	segmento
3071	Ort	place	lugar
3072	willkürlich; eigenmächtig	arbitrary; high-handed	arbitrario
3073	Zahlengerade	number line	recta numérica
3074	Abkürzung	shortcut	acortamiento; atajo; abreviación; desvio
3075	Regel	rule	regla
3076	Abweichung; Ablenkung	desvio	desvio
3077	gerecht	just	justo
3078	trennen	to separate	separar
3079	aufrichten; geraderichten; berichtigen	to raise; to erect; to correct; to rectify; to make straight	enderezar; rectificar; corregir; verificar; enrectar; poner recto; quitar defectos; enmendar
3080	rechter Winkel	right angle	ángulo recto
3081	direktes Objekt	direct object	complemento directo
3082	rechtwinkliges Dreieck	right triangle	triángulo rectángulo
3083	rechter Winkel	right angle	ángulo recto
3084	Rechteck	rectangle	rectángulo
3085	bejahen; behaupten	to affirm	afirmar
3086	sich ausrichten	to align	alinearse
3087	Fremder; Ausländer	stranger; foreigner	forastero
3088	Rechtschreibung	orthography; spelling	ortografía
3089	senkrecht	perpendicular	perpendicular
3090	ehrlich; aufrichtig	faithful; honest; loyal	sincero; que cumple fielmente lo que dijo y no engaña
3091	Lineal	ruler	regla
3092	ehrlich; aufrichtig	faithful; honest; loyal	sincero; verdadero (fiel de confianza, que ni encubre ni hurta ni esconde ni haze menos de lo que le entregan)
3093	dann	then	entonces
3094	Ausdehnung; Abmessung; Weite	expanse; dimension	expansión; dimensión
3095	geheiligt; heilig	holy; sacred	sagrado
3096	heiligen	to consecrate, to sanctify; to hallow	santificar; consagrar
3097	leiten	to lead; to guide; to route	regir
3098	Vernunft	reason	razón
3099	wahr	true	verdadero; positivo; cierto; efectivo
3100	wirklich	really	de verdad
3101	Wahrheit	truth	verdad; evidencia; cierto
3102	augenscheinlich; offenbar; ersichtlich	evident	evidente
3103	Rechtfertiger	justifyer	justificador
3104	klären; bestätigen	to clarify; to confirm; to confirm	aclarar; confirmar; verificar
3105	wahrlich; wahrhaftig; zweifellos	truly; undoubtedly; certainly; certainly; surely	indudable; de verdad
3106	Eigenname	proper name	nombre propio
3107	ehrlich; wahrhaftig	honestly; truly	sincero; honrado; verdadero
3108	Wissen (der Wissenschaft)	scientific knowledge	conocimiento científico
3109	glaube mir	believe me	créeme
3110	wahr	true	verdadero
3111	aufrichten; geraderichten; berichtigen	to raise; to erect; to correct; to rectify	enderezar; rectificar; corregir
3112	sich aufrichten	to straighten; to stand up	enderezarse
3113	Rechte	rights	derechos
3114	Hautausschlag bekommen	to get rash	salir sarpullido
3115	verbrauchen; abtragen; verschleißen; ausgeben	to wear out; to spend	gastar
3116	Lächeln	smile	sonrisa
3117	Koketterie	coquetry	coquetería
3118	Prostituierte; Hure; Animierdame	prostitute; whore; teaser	prostituta; puta
3119	kokett	coquette; coquettish	coqueta
3120	scheinheilig lächeln	to smile hypocritically	sonreír mojigatamente; sonreír
3121	grün	green	verde
3122	Hüfte	hip	cadera
3123	Taille	waist; size	cintura; talle
3124	verstört; bestürzt	disturbed; filled with consternation	turbado
3125	widerwärtig; abstoßend	disgusting	antipático; odio; versión; antipatía
3126	Feind	enemy	enemigo; xenófobo; rencoroso
3127	abscheulich; hassenswert	hateful; odious; abominable	aborrecible; odioso; abominable
3128	Hass	hate; hatred; grudge	odio; discriminación
3129	einander hassen; einander verabscheuen	to hate each other; to detest each other	odiarse (uno a otro); detestarse (uno a otro)
3130	abscheulich; hassenswert	hateful; odious; abominable	aborrecible
3131	voller Hass; hassenswert	hateful	lleno de odio; odioso; rencoroso
3132	Abscheu	abhorrence	aborrecimiento
3133	verabscheuen	to abhor; to despise	aborrecer; detestar; abominar
3134	voller Hass; abscheulich; hassenswert	hateful; odious; abominable	lleno de odio; odioso
3135	Groll	rancour	rencor
3136	verabscheuen	to abhor; to despise	aborrecer
3137	hassend; grollend; nachtragend	hating; grudging; grudger	odiador; rencoroso
3138	Menschenfeind; Egoist	misanthropist; egoist	misántropo; egoísta
3139	verhasst; gehasst; verabscheut	hated; detested; abhorred	odiado; aborrecido; malquerido
3140	Hass; Groll	hate; hatred; grudge	encono; odio; aborrecimiento
3141	hassen	to hate; to despise	odiar; aborrecer; despreciar; detestar
3142	poröser Fels	porous rock	piedra porosa
3143	Meißel	chisel	cincel
3144	grün	green	verde
3145	Agave von rasengrüner Farbe, die in der Puna und an der Küste wächst	agave of turf-green color growing in the puna and on the coast	magüey de color verde césped que crece en la puna y en la costa
3146	Schlange (Art) mit grünem Rücken	kind of snake with green back	especie de serpiente de lomo verde
3147	Samen einer Paprikaart	seed of a red pepper species	germen de locoto; pepita; semilla de aji o semilla menuda de ciertas plantas; pepa de locoto o ají
3148	Wegerich	plantain	llantén
3149	Winter	winter	invierno
3150	Kamm	comb	peine
3151	Regen mit Sonne; Nieselregen mit Sonnenschein; Regenbogen	rain with sun; sun shower; drizzle with sunshine; rainbow	lluvia con sol; llovizna; garúa con sol; arco iris; neblina con arco iris; lluvia en pleno sol
3152	Regenbogen	rainbow	arco iris
3153	nieseln bei Sonnenschein	to drizzle with sunshine	lloviznar con sol; lloviznar; garuar con sol
3154	Stelzvogel (Art)	kind of stalking bird	una variedad de ave zancuda
3155	krähen (Hahn)	to crow (rooster)	cacarear el gallo; cacarear
3156	Winter	winter	invierno
3157	Frühling	spring	primavera
3158	Frühling	spring	primavera
3159	Winter	winter	invierno
3160	Frühling	spring	primavera
3161	Nieselregen; Nebel	drizzle; mist; breeze; breeze; drizzle; fog; mist	mollina; lluvia menudita; garúa limeña
3162	kalte und trockene Jahreszeit	cold, dry season	temporada fría y seca
3163	kalt	cold	frío; helado; frigido; frígido
3164	Kälte; Frost	frost; cold	frío; helada
3165	"eine ""kalte"" Temperatur oder Gehaltsstoff in der Nahrung oder der Umgebung, die in den Körper eindringt und Krankheit verursacht"	"a ""cold"" temperature or essence in a food or in the environment that enters the body and causes illness"	lo frío (que daña); temperatura o esencia fría en la comida o alrededor que entra el cuerpo y causa enfermedad
3166	kalte Hochebene; Altiplano	cold plateau; Altiplano	altiplano
3167	kühlen; abkühlen	to cool	enfriar
3168	Schüttelfrost	shivering	escalofrío
3169	sich erkälten	to catch a cold	resfriarse
3170	Kühlschrank	refrigerator, fridge	refrigerador
3171	Zittern	shiver	temblor; hecho de sufrir mucho frío
3172	kühlen; abkühlen	to cool	enfriar; hacer frío; causar frío
3173	Schüttelfrost	shivering	escalofríos
3174	Schüttelfrost	shivering	escalofrío
3175	niedrige Temperatur	low temperature	temperatura baja
3176	Stecknadel; Nadel zum Zusammenhalten der Kleidung	pin	prendedor
3177	Heilpflanze (Art) des ecuadorianischen Regenwaldes, verwendet zur Fiebersenkung; Pflanze des Regenwalds (Art, Hauptnutzung: Medizin, Ritus)	kind of medicinal plant of the Ecuadorian jungle, used to lower fever; chiricaspi; kind of plant of the jungle (main use: medicinal, ritual)	chiricaspi; especie de planta medicinal de la selva ecuatoriana usada para bajar fiebre; especie de planta de la selva (uso principal: medicina, ritual)
3178	Heilpflanze (Art) des Regenwaldes, verwendet in der Volksmedizin gegen Arthritis und Erkältung, es ist ein starkes Abortivum	kind of medicinal plant of the rainforest used in popular medicine against arthritis and cold, it is a powerful abortive	chirguayusa; chacruco; chiricsanango; especie de planta medicinal de la selva utilizada en la medicina popular contra la artritis y los enfriamientos, es abortivo poderoso
3179	kalte Region; Hochgebirge	cold region; high mountains	tierra fría; sierra
3180	Ananas	ananas	ananá; piña
3181	Eis am Stiel; Eiskrem; Lutscher	ice cream; lollipop	helado; chupete
3182	Winter	winter	invierno
3183	Strauch (Art), Rautengewächs	kind of shrub of the Rutaceae family	arbusto de la familia de las rutáceas
3184	dorniger Baum mit verzweigter, abgerundeter Krone	thorny tree with a rounded top with many branches	una variedad de árbol espinoso de copa ramosa y redondeada
3185	Baumart mit süßen Früchten	kind of tree with sweet fruits; custard apple	variedad de árbol con frutos dulces; chirimoyo; chirimoya
3186	fröstelnd	chilly; shivering	friolento
3187	warme Kleidung	warm clothing	prenda de abrigo
3188	besondere Speise	kind of meal	tamal: un tipo de comida
3189	kalt	cold	frío
3190	Fieberbaum; Heilpflanze (Art) des Regenwaldes, verwendet in der Volksmedizin gegen Arthritis und Erkältung, es ist ein starkes Abortivum	fever tree; kind of medicinal plant of the rainforest used in popular medicine against arthritis and cold, it is a powerful abortive	chiricsanango; shiricsanango; chirguayusa; chacruco; especie de planta medicinal de la selva utilizada en la medicina popular contra la artritis y los enfriamientos, es abortivo poderoso
3191	Klima	climate	clima
3192	große blaue Fliege, die ihre Eier in Fleisch legt; Fleischfliege; Schmeißfliege	big blue fly that lays eggs in meat; meat-fly; blow-fly	mosca grande azul que pone sus huevos en carne; moscarda; moscardón; moscón
3193	kaltherzig; gleichgültig	cold-hearted; indifferent	insensible; impasible; indiferente
3194	Mir ist kalt	I am cold	hace frío; tengo frío
3195	Mir ist kalt	I am cold	tengo frío
3196	Stamm im Osten Boliviens	tribe of Eastern Bolivia	tríbu del oriente de Bolivia
3197	Heilpflanze (Art) des Regenwaldes, verwendet in der Volksmedizin gegen Arthritis und Erkältung, es ist ein starkes Abortivum	kind of medicinal plant of the rainforest used in popular medicine against arthritis and cold, it is a powerful abortive	chirguayusa; chacruco; chiricsanango; especie de planta medicinal de la selva utilizada en la medicina popular contra la artritis y los enfriamientos, es abortivo poderoso
3198	kalt sein; frieren	to be cold; to freeze	hacer frío; estar frío; tener frío; helar; hacer frio
3199	kühlen; abkühlen	to cool	enfriar; hacer enfriar; entibiar
3200	gekühlt; abgekühlt	cooled	enfriado
3201	abkühlen; sich abkühlen	to cool down; to get cold	enfriarse; tener frío; cuajarse; solidificarse; enfriar
3202	Platzregen; Regenguss	cloudburst; downpour	aguacero
3203	schädigen; beschädigen; schaden	to impair; to harm; to damage	dañar; perjudicar
3204	Region; Gebiet	region; area	región
3205	Seite	side	lado; parte lateral; costado
3206	Flanke; Seite	flank; side	costado
3207	juckende, schmerzende, entzündete Pickel	itching, painful, inflammated boils	granitos inflamados en el cuerpo que dan escozor y calentura
3208	Vieleck; Polygon	polygon	polígono
3209	Seitenfläche	lateral surface; side surface	cara lateral
3210	Rand	margin; rim	margen
3211	Zikade	cicada	chicharra
3212	Morgenfrühe; Morgengrauen	dawn; early morning	madrugada
3213	schlafen (Kindersprache)	to sleep (baby talk)	dormir (habla infantil)
3214	Schaf; Ziege; Lamm	sheep; goat; lamb	oveja; chivo; cabro, cabra; cordero; cría de los animales acostumbrados con los humanos; cría huérfana (mascota); mascota
3215	Schafhirte	shepherd	cuidador de cabras
3216	begünstigen; bevorzugen	to favor	favorecer
3217	Dorf und Ketschua-Gemeinde bei Cajamarca (Departement und Provinz Cajamarca, Peru); (span.) Chetilla	village and Quechua community near Cajamarca (department and province of Cajamarca, Peru); (Span.) Chetilla	pueblo y comunidad quechua cerca de Cajamarca (departamento y provincia de Cajamarca, Perú); (esp.) Chetilla
3218	Vogel (Art)	kind of bird	una variedad de ave; nombre que también recibe el crespín
3219	Ziege	goat	cabra; chiva
3220	Andendrossel; Drossel	thrush; dappled bird	tordo; zorzal gris; pájaro del valle; zorzal; pájaro dentirrostro
3221	Berg-Papaya	mountain papaw; mountain papaya	papaya de altura; papaya de tierra fría; chihualcán; chilhualcán; bonete; chamburo
3222	tief rot	deep red	rojo intenso; flor roja
3223	sich paaren (Vögel)	to copulate (birds)	copular las aves
3224	Hahn	cock; rooster; chick; chicklet	pollo; polluelo de las aves; pollito
3225	schwarz (Haar)	black (hair)	negro (pelo)
3226	Ananas	ananas	ananá; piña
3227	Strauch (Art)	kind of shrub	especie de arbusto
3228	Ananas; Pflanze des Regenwalds (Art, Hauptnutzung: Nahrung)	ananas; pineapple; kind of plant of the jungle (main use: food)	ananá; piña; especie de planta de la selva (uso principal: alimento)
3229	Andendrossel; Drossel	thrush; dappled bird	tordo; zorzal gris; pájaro del valle; zorzal; especie de ave
3230	glatt; flach; geglättet	smooth; flat	alisado; aplanado; bien barrido
3231	Ziege	goat	cabra; chivo
3232	Frau, die vorspiegelt, ein junges Mädchen zu sein	woman pretending to be a young girl	señora que aparenta ser una señorita
3233	Heuschrecke; Grashüpfer	grasshopper	langosta
3234	übermäßig; sehr	excessively; very	excesivamente; demasiado; muy
3235	Name einer Pflanze	name of a plant	nombre de una planta
3236	auspressen; ausdrücken (Flüssigkeit)	to squeeze out	exprimir
3237	taub werden	to become deaf	ensordecer
3238	Klammeraffe (Art)	white-bellied spider monkey	mono chuba
3239	Vulva	vulva	vulva
3240	Großmutter; alte Frau	grandmother; old woman	abuela; anciana
3241	Opossum (Art)	kind of opossum	raposa
3242	Kater (nach dem Trinken)	hangover	la cruda
3243	Jahrhundertgewächs; Agave	century plant; agave	magüey; penca; cabuya; pita; flor del magüey
3244	schwammiges Holz	spongy wood	madera esponjosa
3245	Hagel	hail	granizo
3246	Huhn	chicken	pollo
3247	Drossel	thrush	tordo
3248	stillen lassen	to make a woman nurse	hacer amamantar
3249	widerstehen; sich widersetzen	to resist	resistir
3250	hart; ausgetrocknet	hard; dried out	duro; reseco; recio
3251	davor; vorn	in front	delante
3252	Muttermilch	mother's milk	leche materna
3253	Mitte	centre; center	centro
3254	Busen; weibliche Brust; Brust; Brustwarze; Euter; Zitze	breast; nipple	seno; pezón; teta; seno femenino; glándula mamaria; mama
3255	stillen	to suckle; to nurse; to give milk	dar de mamar; amamantar
3256	wetteifern	to contend; to struggle	competir
3257	Brustwarze; Zitze	nipple; teat	pezón
3258	angebratener sonnengetrockneter Maiskolben; Suppe mit Mais, Kohl, Bohnen, Kartoffeln u. a.	half-roasted corn cob dried in the sun; soup with corn, cabbage, beans, potatoes etc.	choclo semiasado y secado al sol; una sopa, elaborada con choclo hervido, col, fréjol, papas etc.; maíz medio hervido y secado al sol, que suele guardarse en conserva; maíz molido y cocido
3259	Chochoqma (Sosoqma, kriechende Pflanze mit kleinen, schwarzen, süßen Früchten, deren Wurzel zur Abtreibung verwendet wird)	tsotsocma; sosocma (creeping plant with small, black, sweet fruits and whose root is used as abortive)	tsotsocma; sosocma (planta rastrera cuyos frutos pequeños y negros son dulces. La raíz de esta planta es efectivo abortivo)
3260	Sternbild der Himmelsfrau	Celestial Woman (constellation)	constelación de la mujer celestial
3261	Nuckelflasche; Saugflasche	baby bottle	mamadera
3262	epiphytischer Mannstreu (Art)	kind of epiphytic eryngium; spanish moss (epiphytic plant)	especie de eringio epífito; gallinaza (planta epífita)
3263	mit großen Brüsten	with big breasts	pechona; hembra tetuda
3264	medizinische Pflanze der Anden und des Regenwaldes, die Alten erzählen, dass zur Heilung ein Teil der Pflanze dort genommen werden muss, wo die Sonne aufgeht, ein anderer dort, wo die Sonne untergeht; potenzsteigernder Trank (Medizin)	medical plant of the Andes and the rainforest, it is told by elders that it is necessary for being heald to take a part of the plant where the sun rises (chuchu) and one where the sun sets (huasha); aphrodisiac liquor (medicine)	chuchuhuasha; planta medicinal de los Andes y de la selva (chuchu - delante, washa - atrás), cuentan los antiguos que para ser curados por esta planta, se debe sacar una parte del árbol por donde sale el sol (chuchu) y por donde se oculta el sol (huasha); chuchuhuasi; licor afrodisíaco (medicina)
3265	medizinische Pflanze der Anden; potenzsteigernder Trank (Medizin)	medical plant of the Andes; aphrodisiac liquor (medicine); chuchuhuasi	planta medicinal de la sierra andina; licor afrodisíaco (medicina); chuchuhuasi; mururi. Puesta la corteza de estas plantas en infusión de aguardiente, se obtiene un magnifico aperital y tónico, bueno para el reumatismo y resfrios. Son bastante empleados en la región
3266	Hühnerlaus	chicken louse	piojo de gallina
3267	saugen	to suck	chupar; mamar; mamar o lactar
3268	Chauffeur; Fahrer	driver	chofer
3269	ansammeln; anhäufen	to accumulate	almacenar
3270	wild	wild	salvaje
3271	Haar; Haare	hair	cabello; pelo; cabellos
3272	Libelle	dragon fly	libélula
3273	stark behaart	hairy	peludo; cabelludo
3274	Haarschnitt; Ritual, bei dem einem Kind von 1-2 Jahren zum ersten Mal die Haare geschnitten werden	haircutting; first haircutting ritual, generally performed for children aged 1-2	esquila; ritual, cuando primeramente cortan el cabello de los niños de 1 o 2 años
3275	Haare schneiden	to clip hair	cortar el cabello
3276	haarig	hairy	melenudo; cabelludo; melenudo; peludo
3277	Libelle	dragon fly	libélula
3278	an den Haaren ziehen	to tear one's hairs	tirar de los cabellos
3279	Backenzahn	molar	molar
3280	Malaria; Sumpffieber	malaria	paludismo; chucho; malaria; terciana; tercianas; escalofríos; fiebre palúdica; convulsión
3281	Schaufel; Spitzhacke	shovel; pickaxe	pala; pico
3282	zittern	to tremble	temblar
3283	sehnsüchtig; begierig; nervös	longing; desirous; nervous	ansioso; nervioso
3284	Heilpflanze (Art) des ecuadorianischen Regenwaldes	kind of medicinal plant of the Ecuadorian jungle	chucchuc panga; especie de planta medicinal de la selva ecuatoriana
3285	gehockt sitzen	to be squatting; to squat	estar sentado en cuclillas
3286	Malaria; Sumpffieber	malaria	paludismo
3287	schaudern; zittern	to shiver; to shake; to tremble; to shake violently; to temblor	estremecerse; sentir escalofríos; temblar; tiritar; estar en cuclillas; sentarse en cuclillas
3288	an Malaria erkranken	to fall sick from malaria	enfermarse del paludismo
3289	niederknien	to fall on one's knees; to kneel down; to bend down; to bend over; to kneel	arrodillarse
3290	krank an Malaria	sick from malaria	enfermo de malaria
3291	sehr hart; resistent	very hard; resistant	muy duro; resistente; duro; consistente
3292	Spaten; Hacke	spade	azada; lanza; flecha
3293	Knie	knee	rodilla
3294	Speer; Lanze; Schwert	spear; sword	lanza; jabalina; espada
3295	Speerspitze; Lanzenspitze	tip of lance; tip of spear	punta de lanza
3296	Speerspitze; Lanzenspitze	tip of lance; tip of spear	punta de lanza
3297	Sucre (Hauptstadt Boliviens); Departement Chuquisaca (Bolivien) (an spanische Aussprache angepasste Schreibweise, vgl. Chuqichaka)	Sucre (capital of Bolivia); department of Chuquisaca (Bolivia) (writing adopted to Spanish pronunciation, cf. Chuqichaka)	Sucre (capital de Bolivia); departamento de Chuquisaca (Bolivia) (escitura adaptada a la pronunciación castellana, cf. Chuqichaka)
3298	dicht gewebtes Tuch	thick, closewoven cloth	ropa bien tupida; ropa espesa, bien tejida y apretada
3299	weibliche Gottheit (Wak'a) in den Erzählungen von Waruchiri; (span.) Chuquisuso	female deity (wak'a) in the tales of Waruchiri; (Span.) Chuquisuso	deidad (huaca) femenina de los cuentos de Huarochirí; (esp.) Chuquisuso
3300	Sohn des Paryaqaqa, der sich im Kampf gegen Wallallu Qarwinchu den Fuß brach in den Erzählungen von Waruchiri; (span.) Chuquihuampo	son of Paryaqaqa who broke his foot in the fight against Wallallu Qarwinchu in the tales of Waruchiri; (Span.) Chuquihuampo	hijo de Paryaqaqa que quedó cojo al quebrarse el pie en la lucha contra Wallallu Qarwinchu en los cuentos de Huarochirí; (esp.) Chuquihuampo
3301	spannen; dehnen; aufhängen	to stretch; to hang	tender; colgar
3302	die Fäden im Gewebe zusammenpressen	to press together the threads in the tissue	tupir los hilos en el tejido; tupir la ropa cuando se teje
3303	La Paz (größte Stadt in Bolivien)	La Paz (largest city of Bolivia)	La Paz (ciudad más grande de Bolivia)
3304	Grille	cricket	grillo
3305	Faust	fist	puño
3306	hart; hart (Nahrungsmittel); hart und ausgetrocknet (wie Brot)	hard; hard (food); hard and dried out (like bread)	duro; duro (alimento); duro y secado (como pan)
3307	geizig; knauserig	mean; miserly; stingy	avaro; mezquino; miserable; tacaño
3308	sehr dünn	very thin	muy delgado
3309	verhärten (Nahrung); hart werden	to harden (food); to become hard	endurecerse (alimento)
3310	braun; kaffeebraun	brown	café (color)
3311	Helm; Hut; Kappe; Schleier	hat; helmet; cap; helmet; hat; head band; woolen veil worn by women	casco; sombrero; capa
3312	Binde; Tuch	kerchief; band; bandage	venda; paño
3313	zum Hinsetzen veranlassen	to make sit down	hacer sentar; hacer tomar asiento
3314	zittern; beben; sich fürchten	to tremble; to shiver	temblar; tiritar
3315	zittrig	tremulous	tembloroso
3316	schütteln	to shake	sacudir
3317	sich einen Hut aufsetzen	to put on a hat	ponerse el sombrero; ensombrerarse
3318	Schokolade	chocolate	chocolate
3319	Mütze; Haube	cap; bonnet	gorro; solideo
3320	Schemel; Hocker	stool	taburete; asiento; silla
3321	Dreifuß; Stativ	tripod	trípode
3322	Erdnuss	peanut	maní
3323	wer sich auf den Boden setzt	who sits down to the ground	el que se sienta; el que se acuclilla
3324	Wiesel	weasel	comadreja
3325	sich niederhocken; sich auf den Boden setzen	to squat oneself; to sit down to the ground	ponerse en cuclillas; sentarse abajo; sentarse; acluclillarse
3326	Städtchen im Departement Qosqo (Peru); (span.) Chucuito (<Helmspitze?)	town in the Department of Qosqo (Peru); (Span.) Chucuito (<point of helmet?)	pueblo en el departamento del Qosqo (Perú); (esp.) Chucuito (<punta de casco?)
3327	sich niederhocken; sich auf den Boden setzen	to squat oneself; to sit down to the ground; to sit	ponerse en cuclillas; sentarse abajo; sentarse; acuclillarse
3328	Mestizin; Chola; hispanisierte Indianerin	chola; indigenous woman who has adopted European habits	chola
3329	Harnblase	bladder	vejiga
3330	Blase	blister	ampolla
3331	Blasen bekommen	to get blisters	formarse ampollas
3332	Schwalbe (Art)	kind of swallow	variedad de golondrina
