ID	Deutsch	English	Español	Italiano	Français
2145	Brücke: delta, epsilon, eta Canis Majoris (Herkunft: Sonqo)	Bridge, Stair: delta, epsilon, eta Canis Majoris (provenience: Sonqo)	Puente: delta, epsilon, eta Canis Majoris (proveniencia: Sonqo)	Ponte; Scala; [costellazione andina; è costituita da delta, epsilon ed eta del Cane Maggiore (Canis Majoris)]	
2146	Balken; Träger	beam; girder	viga	trave; travetto	
2147	traditioneller Tanz	traditional dance	danza tradicional	danza tradizionale	
2148	Kreuzung	crossing	cruzamiento	attraversamento; guado	
2149	überqueren; kreuzen	crossed	atravesado; trancado	attraversato	
2150	Senkrechten	perpendicular lines	rectas perpendiculares	rette perpendicolari	
2151	Kreuz	cross	cruz	croce	
2152	gekreuzt werden	to be crucified	ser crucificado	essere crocifisso	
2153	gekreuzigt	crucified	crucificado	crocifisso	
2154	Schlüsselbein	clavicle	clavícula	clavicola	
2155	aneinanderstecken; ein Kreuz bilden; kreuzen	to put to one another; to form a cross; to cross	meter uno a otro; formar una cruz; entrecruzar; entrelazar; atravesar; cruzar	attraversare; intrecciare; connettere; formare una croce; mettere uno nell'altro	
2156	kreuzigen	to crucify	crucificar	crocifiggere	
2157	Darmbein	ilium	hueso iliaco	osso iliaco	
2158	Oberschenkelknochen	femur	fémur	femore	
2159	abstützen; absichern; verstopfen	to secure; to support; to obstruct	apuntalar; asegurar; trancar; obstruir; atrancar; atascar	ostruire; assicurare; supportare	
2160	eine Brücke schlagen; überbrücken	to bridge; to build a bridge	poner un puente	costruire un ponte	
2161	mit einer Kelle schöpfen	to draw with a ladle	sacar con cucharón	togliere con un cucchiaio; togliere con un mestolo	
2162	überqueren; kreuzen	to cross	cruzar	attraversare	
2163	bitter	bitter	amargo	amaro	
2164	schmatzen	to smack; to eat noisily	masticar ruidosamente	masticare rumorosamente	
2165	erreichen (mit der Hand)	to reach (by hand)	alcanzar (con la mano)	raggiungere; [con la mano]	
2166	zerstreuen; verspritzen	to scatter	regar en desorden	spargere; mettere in disordine; disordinare	
2167	Fuß	foot; leg	pie; pata; pies	piede; zampa; piedi	jambe; pied; patte
2168	Fußsehne; Band am Fußgelenk	foot tendon	tendón del pie	tendine del piede; tendine d'Achille	
2169	Trockner; Trockentuch; Serviette	dryer; napkin; serviette	secador; servilleta	asciugamano; tovagliolo	
2170	Knöchel; Fußknöchel	ankle	tobillo	caviglia	
2171	Knöchel; Fußknöchel	ankle	tobillo	caviglia	
2172	trocknen; austrocknen	to dry; to dry out	secarse	seccarsi	
2173	großfüßig (?)	with big feet (?)	patón	piedone; [persona con i piedi grandi]	
2174	zu Fuß	on foot	a pie	a piedi	
2175	barfuß	barefoot	descalso	scalzo; senza scarpe	
2176	Glied	limb	miembro	membro	membre (bras; jambe)
2177	Fußknöchel; Knie	ankle; knee	tobillo; rodilla	ginocchio; caviglia	genou
2178	immer zu Fuß gehen	always go on foot	siempre ir a pie	sempre andare a piedi	aller toujours à pied
2179	großfüßig	with big feet	patón	piedone; [persona con i piedi grandi]	
2180	sich den Fuß verdrehen	to twist one's foot	torcer el pie	torcere il piede; prendere una storta	se tordre le pied
2181	Pfad	path	sendero; camino de herradura; camino por donde se va a pie	sentiero; [cammino dove si può andare solo a piedi]	
2182	Knöchel; Fußknöchel	ankle	tobillo	caviglia	
2183	zu Fuß	on foot	a pie	a piedi	
2184	Fußsohle	sole of the foot	planta del pie	pianta del piede	
2185	Fußsohle	sole of the foot	planta del pie	pianta del piede	
2186	Zeh	toe	dedo del pie	dito del piede	
2187	Zehen	toes	dedos del pie	dita del piede	
2188	Fußnagel	foot nail	uña del pie	unghia del piede	
2189	großhändig	big-handed	patudo; patón; gordo de piernas	piedone; zampone; di gambe grosse	
2190	Fußspur; Fußabdruck; Spur	footprint; track; footprint	huella del pie; pisada; huella; rastro; huella de los pies	impronta; impronte; traccia; tracce	
2191	Schienbein	tibia; shin; front part of lower leg	tibia; canilla; parte anterior de la tibia	tibia; stinco; [parte anteriore della tibia]	tibia
2192	zum Laufen fähiges kleines Kind	baby who is able to walk	bebe capaz de andar	bebè che cammina	
2193	eggen	to harrow	rastrear	trascinare	
2194	Ferse	heel	talón	tallone; calcagno	
2195	seine Beine überkreuzen	to cross one's legs	cruzar sus piernas	incrociare le gambe	
2196	Oberschenkelknochen	femur	fémur	femore	
2197	Fußknochen	foot bones	huesos del pie	ossa del piede	
2198	Spaten; Trittgrabscheit	spade	azada; arado de pie; tirapié; pala incaico	zappa; aratro da piede; pala; vanga	plante des pieds
2199	Pflug: Sternbild des Skorpions (Herkunft: Lucre); andines Sternbild des Pflugs	Plough: Scorpio (provenience: Lucre); Plough (Andean constellation)	Arado: constelación del Escorpión (proveniencia: Lucre); constelación andina del Arado	Aratro; [costellazione andina; è corrispondente allo Scorpione]	
2200	Quadratfuß	square foot	pie cuadrado	piede quadrato	
2201	Bein	leg	pierna	gamba	
2202	Ferse	heel	talón	tallone; calcagno	
2203	Fußball	football; soccer	fútbol	football; calcio	
2204	abmagern	to lose weight; to become thin	enflaquecer	dimagrire	
2205	Kind, das schon laufen kann	child who is already able to walk	nino que ya sabe andar	bebè che cammina	enfant qui sait déjà marcher
2206	gepflügter Acker	ploughed land; plowed land	chacra arada por primera vez; barbecho; tierra fértil	campo arato; [prima aratura]	
2207	urbar gemacht	cleared (land); cultivated (land)	barbechado	campo a maggese	
2208	zum erstenmal pflügen; urbar machen; Erde mit einer Hacke entfernen	to plough first time; to plow first time; to cultivate; to clear land; to remove soil using a mattock; to reharvest; to remove earth using a hoe	arar primera vez; arar por primera vez; cultivar; barbechar; remover la tierra utilizando el azadón; roturar terreno; preparar hazas; roturar	arare; [prima aratura]; coltivare; rompere il terreno; [predisporre il campo a maggese]	
2209	dritteln	to divide into three	terciar	dividere in tre parti	
2210	weiblichen Geschlechts	of female gender or sex	de sexo fememino	femminile; [di sesso femminile]	
2211	Chakpá (Baum der Puna mit ansehnlichen Blüten, seine Früchte werden in den Hals gehängt, um den Kropf verschwinden zu lassen)	chacpá (tree of the puna with imposing flowers, ist fruits are hanged into the throat to make the goitre disappear)	chacpá (árbol de la puna de flores vistosos, sus frutos se cuelgan en el cuello para que el bocio desaparezca)	chacpà; [albero di montagna dai fiori vistosi e i cui frutti si legano al collo come rimedio contro il gozzo]	
2212	Acker; Feld; offenes Feld im Regenwaldgebiet (erste drei Jahre nach Rodung) mit Maniok als Hauptfrucht	land; farm; field; agricultural plot or field; field in the rainforest area just cleared (initial open field, first three years after clearing) with cassava as the leading crop	campo; terreno; maizal; chacra; sementera (especialmente de maís); tierra de labor; sementera; terreno cultivado; campo cultivado; campo abierto en la selva (primeros tres años después de talar) con yuca como cultivo principal; terreno labrantío; tierra sembrada; tierra de cultivo	campo; coltivazione; campo di mais; terreno coltivato; [campo coltivato specialmente di mais o campo aperto nella selva coltivato a yuca]	champ; lopin
2213	Pallay-Motiv in Geweben (Bedeutung: Feld)	pallay motif (belt design, meaning: field)	motivo pallay en tejidos (significado: campo)	campo (motivo pallay); [è un motivo usato nella decorazione dei tessuti (il significato di questo motivo è: campo)]	
2214	sein Stück Land bearbeiten	to work one's piece of land	trabajar su tierra	lavorare la propria terra	travailler son lopin
2215	Zeit des Unkrautjätens auf den Feldern (Dezember)	time of weeding the fields (December)	tiempo del deshierbe de la chacra (diciembre)	dicembre; [periodo del diserbo dei campi]	
2216	landwirtschaftlich	agricultural	agrícola	agricolo	
2217	Landwirtschaft	agriculture	agricultura	agricoltura	
2218	Bauer; Landwirt	farmer; peasant	campesino; agricultor; labrador; labriego	contadino; agricoltore; lavoratore della terra	
2219	landwirtschaftliche Produktion	agricultural production	producción agrícola	produzione agricola	
2220	Zeit der Reife auf den Feldern (Mai)	time of ripening (Mai)	tiempo de la maduración (mayo)	maggio; [tempo della lavorazione della terra]	
2221	Verteilung von Brachland unter den Armen, bebaut in gemeinschaftlicher Art und Weise (jährlich im Juli, in der Inkazeit)	distribution of fallow land among the poor, cultivated in communitarian form (every year in July, in Inka times)	distribución de tierras que sobraban entre los pobres y sembraban en forma comunitaria en las tierras baldías (cada año en julio, en el tiempo Inka)	Luglio; [periodo nel quale si distribuivano le terre tra i poveri che poi venivano seminate in forma comunitaria; veniva fatto ogni anno a Luglio nel periodo Inca; sacrificavano cento lama di colore rossiccio e mille cavie peruviane bianche bruciandole nella piazza pubblica affinché il sole e le acque non danneggiassero le coltivazioni e i raccolti]	
2222	Juli	July	julio	luglio	
2223	Juli (im Zeitalter der Inkas: Monat der Landverteilung unter den einfachen Bauern. Unter anderem wurden hundert blutrote Hammel (Lamas) und tausend weiße Meerschweinchen geopfert durch Verbrennen auf dem öffentlichen Platz, damit Sonne und Wasser die Nahrungsmittel und das Saatgut verschonen)	July (in the Inka era: Month of land distribution among the poor peasants. Among others, one hundred blood-coloured wethers (llamas) and one thousand white guinea pigs were sacrificed by burning them on the public square so the sun would not damage food nor seed)	julio (en la era de los Inkas: Mes de la distribución de tierras que sobraban entre los pobres y sembraban en forma comunitaria en las tierras baldías. Sacrificaban con otros cien carneros de color de sangre y mil cuyes blancos quemándolos en la plaza pública para que el sol y las aguas no dañen los alimentos, ni las sementeras); julio	Luglio; [periodo nel quale si distribuivano le terre tra i poveri che poi venivano seminate in forma comunitaria; veniva fatto ogni anno a Luglio nel periodo Inca; sacrificavano cento lama di colore rossiccio e mille cavie peruviane bianche bruciandole nella piazza pubblica affinché il sole e le acque non danneggiassero le coltivazioni e i raccolti]	
2224	Zeit des Anhäufelns (Januar)	time of earthing up (January)	tiempo del aporque (enero)	Gennaio; [periodo dell'ammontonamento della terra attorno al tronco]	
2225	Bauer; Landwirt	farmer; peasant	campesino; agricultor; labrador	contadino; agricoltore; lavoratore della terra	paysan
2226	Bauer; Landwirt	farmer; peasant	campesino; agricultor; labrador; labriego	contadino; agricoltore; lavoratore della terra	
2227	Oktober	October	octubre	Ottobre	octobre
2228	Viehzucht	stock breeding; cattle breeding	agropecuaria	pastorizia	
2229	Bäuerin	farmer (woman)	campesina; labradora	contadina; lavoratrice della terra; agricoltrice	
2230	Zeit des Wachstums auf den Feldern (November)	time of growth on the fields (November)	tiempo del crecimiento y primeros cuidados de la chacra (noviembre)	Novembre; [tempo della crescita nei campi]	
2231	die Arbeit auf dem Feld beherrschen	to know how to work on the field	saber hacer chacra; saber trabajar (palabra más aproximada al concepto andino de tecnología)	tecnologia; [saper lavorare la terra; è una parola molto vicina al concetto andino di tecnologia]	
2232	anbauen	to cultivate	cultivar	coltivare	
2233	Zeit des Pflügens	time of ploughing	tiempo de romper (arar) la tierra	tempo di aratura	
2234	August	August	agosto	agosto	
2235	August; August (im Zeitalter der Inkas: Monat des Pflügens. Der Inka und das gesamte Reich halfen bei der Mink'a; während des Pflügens vor dem Beginn der Maisernte wurde gegessen, gesungen und getrunken. In diesem Monat wurden den Wak'as geopfert, die Armen gaben was sie konnten - Meerschweinchen, Muscheln, Maisbier und Hammel)	August; august (in the Inka era: Month of ploughing. The Inka the whole empire assisted in the mink'a; during the ploughing before beginning the sowing of maize, they ate, chanted and drank. During this month, offering were given to the wak'as; the poor gave what they could, like guinea pigs, shells, chicha and wethers (llamas))	agosto; agosto (en la era de los Inkas: Mes de romper (arar) la tierra. El Inka y todo el reino asistían a la minga; comían, cantaban y bebían mientras rompían la tierra para empezar a sembrar el maíz. En este mes sacrificaban en las huacas, pobres de este reino con lo que podían, con cuyes, conchas, chicha y carneros)	Agosto; [mese dell'aratura della terra al tempo degli Inca; L'Inca stesso e tutto il regno assistevano alla mink'a, mangiavano, cantavano e bevevano mentre rompevano la terra per poi seminare il mais. In questo mese si facevano sacrifici alle wak'as; i poveri sacrificavano tutto ciò che potevano: cavie peruviane, chicha, lama, ecc.]	août
2236	Ackerbesitzer	field-owner; field owner	los que tienen sembrados; dueño de chacras; hacendado; terrateniente	proprietario di terra; proprietario; terratenente	
2237	ungleich; unterschiedlich; andersartig	unequal; different	disparejo; diferente; falto de continuidad	differente; diverso; mancanza di continuità	
2238	Jagd; Jagd (ohne zu töten)	hunt; hunting (without killing)	caza; caza (sin matar); rodeo; cacería	caccia; cacciagione; rodeo; caccia sportiva; [senza uccidere]	
2239	Unterschied	difference	diferencia	differenza	
2240	Unterschied	difference	diferencia	differenza	
2241	ungleich	unequal	desigual	diseguale; diverso	
2242	sich unterscheiden	to differ; to be different	diferenciarse	differenziarsi; essere differente	
2243	unterscheiden	to distinguish	diferenciar	differenziare	
2244	Blattschneiderameise; Treiberameise	kind of very aggressive ant	comejón; especie de hormiga muy agresiva; hormiga destructora	formica; [tipo di formica molto aggressiva]; [tax. reg: Animalia; phy: Arthropoda; cla: Insecta; ucl: Pterygota; sor: Endopterygota; ord: Hymenoptera; fam: formicidae; ufa: mymicinae; bin: Atta sexdens]	
2245	jagen; gemeinschaftlich jagen, ohne zu töten	to hunt; to hunt together without killing	cazar; cazar junto sin matar	cacciare assieme; [senza uccidere]	
2246	südamerikanisches Rebhuhn	South American partridge	tinamu; perdiz sudamericana; perdiz	tinamu; pernice; pernice sudamericana; [uccelli appartenenti alla famiglia Tinamidae, come l'Hatun yuthu (Tinamus major) o la P'isaqa (Nothoprocta sp.)]; [tax. reg: Animalia; phy: Chordata; cla: Aves; ord: Tinamiformes; fam: Tinamide]	perdrix
2247	alt (Frau)	old (woman); old (female)	vieja; anciana; vieja (mujer); vieja (para personas y animales); vieja; fam; abuela	vecchia; [riferito a persona di sesso femminile]	
2248	alt (weibliches Tier)	old (female animal)	vieja (animal hembra)	vecchia; [riferito a animale di sesso femminile]	
2249	alte Frau	old woman	abuela; anciana; mujer vieja; vieja; vieja; anciana	anziana; vecchia; nonna; [riferito a persona di sesso femminile]	femme de plus de quarante ans; vieille
2250	altern (Frau); alt werden (Frau)	to age (woman); to become old (woman)	envejecer (una mujer o animal hembra)	invecchiare; [riferito a persona o animale di sesso femminile]	
2251	ungleich und nicht zusammenkommend	unequal not coming together	desigual que no empareja con otro	disuguale; differente; diverso; disaccoppiato	
2252	ungleiche Dinge	unequal things	cosas que no tienen proporción entre sí y las cosas desemparejadas, no de un tamaño ni de una hechura y parecer	sproporzionato; disaccoppiato; differente; [cose che non hanno proporzione tra loro o che sono disaccoppiate, che non hanno misura o forma simile]	
2253	dünn; mager	thin; skinny	flaco	magro	
2254	Mestize	mestizo	mestizo	meticcio	
2255	Hüllblatt des Maiskolbens	leaf covering the corn cob	hoja que envuelve la mazorca de maíz	foglia di mais	
2256	Tausch; Tauschhandel	interchange; swap	intercambio	intercambio	
2257	unfruchtbare Erde	sterile earth	tierra estéril	terra sterile	
2258	Kingeling!	ding dang!	¡Chin!	Din; [suono di una campana]	
2259	Küste	coast	costa	costa	
2260	strafen; züchtigen	to punish; to chastise	castigar; azotar; zurrar; hostigar; acosar	castigare; frustare; punire	
2261	dünn werden; schlank werden	to become thin; to become skinny; to thin; to take off; to erode	adelgazarse; enflaquecerse; desgastarse; erosionarse	dimagrire; erodersi; affinarsi; assottigliarsi	
2262	kleiner, dornloser Baum mit dünner Rinde und rötlichen, essbaren Früchten	thornless small tree with thin bark and reddish eatable fruits	una variedad de arbolito inerme de corteza delgada y de frutos rojizos comestibles	chal-chal; [piccolo albero senza spine con corteccia e frutta rossiccia commestibile]	
2263	Vogel, der gern Früchte des Chal-Chal frisst	kind of bird that likes chal-chal fruits	variedad de ave parecida al zorzal que apetece los frutos del chal-chal	chalchaliru; [tipo di uccello simile al tordo che mangia i frutti di chal-chal]; [tax. reg: Animalia; phy: Chordata; cla: Aves; fam: ???; ord: ???; gen: ???; spe: ???]	
2264	Sand	sand	arena	sabbia	
2265	Küste; Höhenstufe von 0 bis 500 m	coast; altitude level in the Andes from 0 to 500 m	costa; chala; nivel de altitud en los Andes desde 0 a 500 m	costa; [territorio andino compreso tra 0 e 500 metri di altezza]	
2266	mit wenigen Zähnen	with few teeth	con pocos dientes	con pochi denti; sdentato	
2267	Strand	beech	playa	spiaggia	
2268	Ich komme von der Küste	I come from the coast	vengo de la costa	vengo dalla costa	
2269	sandig	sandy	arenoso	sabbioso	
2270	brodelnd sieden	to boil rapidly	hervir a borbotones	bollire rapidamente; bollire a fiotti	
2271	brodelnd sieden	to boil rapidly	hervir a borbotones	bollire rapidamente; bollire a fiotti	
2272	schlau; verschlagen; hinterlistig; Schurke	sly; cunning; wily; foxy	astuto; bellaco; pícaro; mañoso; pícaro; bribón	astuto; furbo	
2273	feines Halstuch; Halsbinde	fine scarf; fine neckcloth	chalina	scialle; sciarpa	
2274	Heilpflanze (Art) des ecuadorianischen Regenwaldes	kind of medicinal plant of the Ecuadorian jungle	chali panga; especie de planta medicinal de la selva ecuatoriana	chali panga; [tipo di pianta medicinale della selva equatoriale]	
2275	Inka-Hauptmann in der Zeit der spanischen Eroberung	Inka captain in the times of the Spanish conquest	capitán de los Inkas en el tiempo de la conquista española	Challkuchima; [capitano Inca del tempo della conquista spagnola]	
2276	einweichen; eintauchen; nass machen; eindringen in (Wasser)	to soak; to dip briefly in the water	remojar; empapar; poner en remojo; sumergir; penetrar el agua	ammollare; mettere in ammollo; sommergere; penetrare (dell'acqua); imbibire	
2277	andines Sternbild des Fisches	Fish (Andean constellation)	constelación andina del Pez	Pesce; [costellazione andina]	
2278	Fisch; Forelle; Challua (wird auch für bestimmte kleine Fischarten im Amazonasgebiet verwendet)	fish; little fish; tadpole; pollywog; challua (also used for certain kinds of small fish in the Amazon)	pez; pescado; challua (se usa también para ciertas especies de peces pequeños en la Amazonía)	pesce; challua; [è utilizzato anche per certi tipi di pesce molto piccoli in Amazzonia]; [tax. reg: Animalia; phy: Chordata; uph: vertebrata; iph: Gnathostomata; scl: ittiopsidi]	poisson
2279	Aal	eel	anguila	anguilla; [tax. reg: Animalia; phy: Chordata; uph: vertebrata; iph: Gnathostomata; Classe:	
2280	Angelhaken	fish-hook	anzuelo	amo	
2281	Fischer; Angler	fisherman	pescador	pescatore	
2282	fischen; Fische fangen	to fish	pescar	pescare	
2283	Fischerei; Fischkunde	fishery; ichthyology	pesca; pesquera; ictiología	pesca	
2284	gebratener Fisch	roasted dry fish	pescado asado	pesce arrosto; pesce alla brace	
2285	fischen	to fish	pescar	pescare	
2286	Biceps	biceps	bíceps; músculo de brazo y piernas	bicipite; [muscolo del braccio e delle gambe]	biceps
2287	Fischer	fisherman	pescador	pescatore	
2288	schuppig; fischschuppig	scaly	escamoso; que tiene escamas	squamoso	
2289	Fischverkauf; Fischmarkt	fish sale; fish market	venta de pescados; pescadería	pescheria; vendita di pesce	
2290	fischen	to fish	pescar	pescare	
2291	fischen; Fische fangen	to fish	pescar	pescare	pêcher
2292	Fischer	fisher	pescador	pescatore	pêcheur
2293	Pflanze, die verwendet wird zum Gelb Färben	plant used to dye yellow	chamañuai; planta usada para teñir de amarillo	chamagnuai; [pianta usata per tingere di giallo]	
2294	Jacke	jacket	chaqueta; saco	giacchetta; giacca; gilet	
2295	zerreißen; auseinanderreißen	to tear to pieces; to tear apart	despedazar	fare a pezzi; spezzettare	
2296	klein	small	pequeño; menudo	piccolo; minuto	
2297	Stechapfel; weiß blühende Pflanze	chamico; white-flowering plant	chamico; planta de flores blancas	chamico; bella di notte; [pianta dai fiori bianchi]; [tax. bin: Datura stramonium]; [tax. bin: Datura ferox]	
2298	klein (verächtlich)	small (desparaging)	pequeño (despectivo)	piccoletto; [dispregiativo]	
2299	zerkleinertes Brennholz (zum Anmachen)	chopped firewood (for lighting fire)	leña menuda empleada para encender el fuego; charamosca	legna piccola; [impiegata per accendere il fuoco]	
2300	Ort im Wald, wo die Bäume gefällt wurden und nur Unkraut wächst	place in the forest where the trees have been cut down and only weeds grow	lugar depredado, donde talaron los arboles y sólo crece malezas	roveto; [posto nella foresta dove sono stati tagliati gli alberi e crescono solo arbusti]	
2301	trockene Retama	dry retama	retama seca	ginestra secca	
2302	berühren; befühlen	to touch; to feel	tocar; palpar	toccare; palpare	
2303	Ziegel aus Erde und getrocknetem Stroh	brick of earth and dried straw	ladrillo de tierra y paja secada; terrón; terrón húmedo con raíces	mattone	brique de terre et de paille séchée
2304	kaputtschlagen	to beat into parts; to destroy	romper; hacer pedazos; destruir	rompere; fare a pezzi; spezzare; distruggere	
2305	schüchtern; furchtsam; demütig	fearful; timid; shy; humble	tímido; apocado; distraído; humilde	timido; fifone; umile	
2306	Axt; Stab; Zepter	axe; ax; cane (staff); scepter; rod; staff	hacha; palo; cetro; herramienta porra para destrozar terrones en los terrenos barbechados; porra	ascia; palo; scettro; [arnese utilizzato per distruggere gli agglomerati di terra nei campi a maggese]	
2307	Pflanzenbündel; Garbe; Karnevalsgerüst	bunch of plants; sheaf; carnival scaffold	hato de plantas; gavilla; tablada del carnaval	mazzo di piante; gruppo di piante; impalcatura; [tavola adornata utilizzata durante i carnevale]	
2308	Bronze; Legierung aus Kupfer und Gold	bronze; alloy of copper and gold; bronze	bronce; aleación de cobre y oro; metal bronce	bronzo; [lega di rame e oro]	bronze
2309	Käfer	beetle	coleóptero	coleottero	
2310	Palme (Art) des Regenwaldes	kind of palm tree of the jungle	chambira; especie de palma de la selva; especie de palma muy útil por la fibra para la elaboración de shigras, hamacas y otros tejidos	champira; [tipo di palma della selva, la cui fibra è molto utile nella creazione di amache e altri tessuti]	
2311	einheimische Weinpflanze (Art)	kind of native uvilla (vine)	especie de uvilla nativa	champira muyo; [tipo di uva piccola autoctona]	
2312	Fisch (Art) des Amazonasgebiets	kind of fish of the Amazon	chambirima; especie de pez de la Amazonía	chambirima; [tipo di pesce dell'Amazzonia]	
2313	Schlacke	dross	escoria	scoria	
2314	zerfranst	frayed	deshilado (flecos)	sfilato; [bordo fatto con dei fili]	
2315	zerquetschter Mais; gemahlener Mais; zerkleinerter Mais	mashed maize; grinded maize; chopped maize	maíz triturado	mais tritato	
2316	werfen lassen	to make throw	hacer votar; arrojar	far vomitare; vomitare	
2317	Steinbrecher; Heilpflanze (Art), Hauptnutzung: Nierensteine und Gallensteine, krampflösend, harntreibend	stone breaker; kind of medicinal weed, main uses: kidney stones and gall stones, anti spasmodic, diuretic	chanca piedra; quiebra piedra; especie de hierba medicinal, usos principales: cálculos renales, cálculos biliares, antiespasmódico, diurético	chanca pietra; [specie di erba medicinale i cui usi principali sono: calcoli renali, calcoli biliari, antispasmo e diuretico]; [tax. bin: Phyllantus stipulatus]; [tax. bin: Phyllanthus niruri]	
2318	geworfen	thrown	arrojado; manoseado; dañado; ajado; menoscabado	vomitato; manomesso; danneggiato	
2319	werfen (in eine exakte Richtung); Steine werfen; werfen	to throw (towards a precise point); to throw; to cast; to throw (with force); to launch; to throw stones	echar (en una dirección exacta); arrojar; tirar; lanzar; echar; echar piedras; apedrear; chancar	lanciare; tirare; lanciare; tirare sassi; lapidare; [lanciare in direzione esatta, specifica]	jeter (vers un point précis); projeter
2320	knacken; quetschen; zerquetschen; zerbrechen; zermahlen; zerkleinern	to mash; to grind; to chop; to squeeze; to crack; to break; to hit	triturar; magullar; aplastar; quebrantar; cascar; golpear con piedra; moler ásperamente; desmenuzar; moler; machacar; majar	macinare; sminuzzare; triturare; schiacciare; colpire con pietra; rompere	
2321	schlecht gemahlenes Korn	bad-ground grain	grano mal molido	grano mal tritato	
2322	ansengen; leicht rösten	to singe	chamuscar	bruciare; arrostire	
2323	kleiner; jünger; jüngst	smaller; less; minor; younger; youngest	menor; benjamín; hijo último; último hijo	minore; più giovane; [sia di dimensione che d'età]	
2324	letzt	final	último	ultimo	
2325	letzer Sohn (ist verpflichtet, im Vaterhaus zu bleiben, auch nach der Heirat)	last son (has to stay in his father's house, also after marriage)	último hijo (que está obligado a permanecer en la casa paterna, incluso después de formar pareja); benjamín; hijo menor	figlio minore; [figlio minore di una serie; era obbligato a rimanere nella casa paterna anche dopo essersi sposato]	
2326	letztgeborenes Kind	last-born child	último hijo	ultimo figlio; figlio minore	
2327	sich nähern; sich annähern	to approach	acercarse	avvicinarsi	
2328	großer Teller	big plate	plato grande	piatto grande; vassoio	
2329	ein Sohn des Paryaqaqa in den Erzählungen von Waruchiri; (span.) Chancharuna	a son of Paryaqaqa in the tales of Waruchiri; (Span.) Chancharuna	un hijo de Paryaqaqa en los cuentos de Huarochirí; (esp.) Chancharuna	Chancharuna; [un figlio di Paryaqaqa nelle storie di Waruchiri]	
2330	kleiner Junge	little boy	chiquillo	ragazzino; bambino	
2331	junger Mann	young man	muchacho; hombre joven	giovane; uomo giovane; ragazzo; bambino	
2332	richtig	correct	correcto	corretto	
2333	Preis; Wert; Nutzen	price; value	precio; valor; precio; valor comercial; valor; costo	valore; prezzo; [valore commerciale]	valeur; intérêt (à quoi sert une chose)
2334	ausgewählte Speise; Köstlichkeit	selected food	comida seleccionada o que se da a un invitado para llevar	cibo scelto; [cibo scelto che si da a un invitato per portarsi via]	
2335	Gewinn; Nutzen; Nützlichkeit	profit; benefit; usefulness	utilidad	utilità	
2336	nutzen; benutzen; schätzen; bewerten	to use; to utilize; to value; to price	utilizar; valorar	utilizzare; usare; valutare; dare un prezzo	
2337	Daten	data	datos	dati	
2338	Sehenswürdigkeit	sight (interesting site or building)	lugar turístico	luogo turistico	
2339	Wert	value	valor	valore	
2340	gleichwertig; entsprechend	equivalent	equivalente	equivalente	
2341	richtig	correct; apt; competent; a lot; much; value; true	correcto; justo	corretto	correct
2342	teuer	expensive	caro	caro; costoso	
2343	ziemlich	fairly	bastante	abbastanza	
2344	gerechter Preis; Wert; Wahrheit	just price; value; truth	precio justo; valor; verdad; valor (precio); precio; valor	prezzo giusto; verità; valore	
2345	Richter	judge	juez; tasador; justipreciador; premiador	giudice	
2346	Zeiger; Anzeiger; Indikator	indicator	indicador	indicatore	
2347	gerecht; geschätzt; anerkannt	just; appreciated	justo; reconocido; valorado; tasado	giusto; riconosciuto; valutato	
2348	Rechtsstaat	constitutional state; rule of law	estado de derecho	stato di diritto	
2349	Schätzung; Bewertung; Evaluation	evaluation	evaluación	valutazione	
2350	schätzen; anerkennen	to appreciate; to add to something there is already a lot of; to determine; to evaluate; to value	reconocer; otorgar valor; respetar; valorar; premiar; remunerar; apreciar; estimar; decretar correctamente; evaluar; justipreciar; poner precio	riconoscere; attribuire valore; rispettare; valorizzare; premiare; remunerare; apprezzare; stimare; valutare	
2351	verurteilen	to condemn	condenar	condannare	
2352	wertlos	worthless	sin valor	senza valore	
2353	gerecht; ehrlich	just; sincere	justo; sincero	giusto; sincero	
2354	perfekt	perfect	perfecto	perfetto	
2355	gleichwertig; entsprechend	equivalent	equivalente	equivalente	
2356	Gleichwertigkeit; Äquivalenz	equivalence	equivalencia	equivalenza	
2357	Erklärung; Deklaration	declaration	declaración	dichiarazione	
2358	Wert	value	valor	valore	
2359	kosten; wert sein; gelten	to cost; to be worth; to be valid	costar; valer	costare; valere	
2360	schätzen; bewerten	to value	valorar	valutare	
2361	Wertigkeit	valence; valency	valencia	valenza	
2362	wert; wertvoll; kostbar; teuer; wichtig	worth; valuable; expensive; important	valioso; caro; costoso; importante; con valor; valioso de precio muy alto	importante; con valore; valoroso; costoso; caro	
2363	Bein; Wade; Innenseite des Oberschenkels	leg; calf	pierna; pantorrila; muslo; muslo; anca del animal; pantorilla	gamba; polpaccio; coscia; anca; [anca dell'animale]	muscle; cuisse
