wd_lid,lemma,category,sense,definition
L50599,akronimo,Q1084,L50599-S1,"siglazko hitza, bereziki, hitz arrunt gisa irakurri edo ahoskatzen dena, edo hitzen hasierako letrez gain beste bat edo batzuez ere osatua dena (adibidez, sonar: sound navigation ranging)"
L231035,akropoli,Q1084,L231035-S1,Antzinako Greziako hirietan goialdean zegoen gotorlekua. Jauregi bat eta santutegiak zituen
L48755,akta,Q1084,L48755-S1,"akordio, erabaki, egitate, agerpen juridiko edo bilera batean eztabaidatu eta erabakitakoa idatziz jasotzen duen agiria"
L223586,aktibatu,Q24905,L223586-S1,zerbait eraginkor bihurtu
L223586,aktibatu,Q24905,L223586-S2,(Kim.) aktibazioa eragin
L231036,aktibazio,Q1084,L231036-S1,zerbait aktibatzearen ondorengo ekintza eta ondorioa
L231036,aktibazio,Q1084,L231036-S2,"substantzia baten erreaktibotasuna areagotzea, bereziki erradiazioen adsortzioz"
L231037,aktibista,Q1084,L231037-S1,(Pol.) ekintzailea
L231038,aktibitate,Q1084,L231038-S1,(Fis.) denbora-unitatean desintegratzen den substantzia erradioaktibo baten atomo-kopurua
L294447,aktibo,Q7233569,L294447-S1,eraginkorra
L294447,aktibo,Q7233569,L294447-S2,zerbaitetan diharduena
L60639,aktibo,Q1084,L60639-S1,(Kont.) enpresa edo pertsona fisiko baten ondasunen eta hartzekoen multzoa
L231039,aktinia,Q1084,L231039-S1,"(Zool.) Actinia generoko polipoak. Gorputza zilindrikoa dute, eta ahoa haren erdian dago garro erresumingarriz inguratuta"
L231040,aktinio,Q1084,L231040-S1,(Kim.) zenbaki atomikoa 89 duen elementu kimikoa (Ac). Metal erradioaktiboa da
L49473,aktore,Q1084,L49473-S1,"antzerki, zinema, irrati edo telebistako antzezlan batean pertsonaietako bat antzezten duen pertsona"
L49932,akuaforte,Q1084,L49932-S1,urarekin nahasitako azido nitrikoa
L49932,akuaforte,Q1084,L49932-S2,(Art.) eskuarki kobre gainean eginiko grabatu-mota
L51392,akuarela,Q1084,L51392-S1,uretan diluitutako pintura arin eta gardena
L51392,akuarela,Q1084,L51392-S2,pintura horren bidez egindako lana
L49844,akuario,Q1084,L49844-S1,uretako animaliak eta landareak eduki eta zaintzeko ontzia
L49844,akuario,Q1084,L49844-S2,akuario asko dauden lokala
L290590,akuatiko,Q7233569,L290590-S1,"izakiez mintzatuz, uretan edo ur inguruan jaio eta bizi dena"
L290590,akuatiko,Q7233569,L290590-S2,urari dagokiona
L50485,akueduktu,Q1084,L50485-S1,ura eramateko kanala
L50485,akueduktu,Q1084,L50485-S2,erromatarrek ura bideratzeko eraikitzen zituzten zubiak
L231041,akuifero,Q1084,L231041-S1,"(Geol.) ustia daitekeen ura gordeta duen arroka edo sedimentu-gorputza. Iragazitako uren garraio eta metatzeaz eratzen da, beheko muga gorputz iragazgaitz bat izanik"
L294448,akuifero,Q7233569,L294448-S1,bere baitan ura daukana
L231042,akuikultura,Q1084,L231042-S1,merkataritza-xedeaz egindako uretako landare eta animalien hazkuntza
L223430,akuilatu,Q24905,L223430-S1,akuiluaz ziztatu
L223430,akuilatu,Q24905,L223430-S2,"norbait zerbait egitera bultzatu, zirikatu"
L290591,akuilatzaile,Q7233569,L290591-S1,"akuilatzen duena, irudizko zentzuan batez ere"
L50908,akuilu,Q1084,L50908-S1,"makila luze eta eztenduna, gurdi-abereei eragiteko erabiltzen dena"
L231043,akula,Q1084,L231043-S1,"(Zool.) 70 cm inguruko gorputz luze eta mehea duen itsas arraina, guraize-itxurako baraila luzeak dituena. Oso igerilari trebea da eta sardatan ibiltzen da, ur-azaletik gertu (Belone belone)"
L230926,akulturazio,Q1084,L230926-S1,"kultura batek, beste kultura batekin harremanetan jartzean, berezko ezaugarriak galtzea"
L231044,akupuntore,Q1084,L231044-S1,akupuntura egiten duena
L50114,akupuntura,Q1084,L50114-S1,(Med.) gorputzeko leku jakinetan orratzak sartzea oinarri duen metodo terapeutikoa
L49218,akura,Q1084,L49218-S1,agotek ordaintzen zuten zerga
L49218,akura,Q1084,L49218-S2,"inorena den zerbaiten ordainketa bidezko erabilera; ordainketa horren zenbatekoa, errenta"
L224503,akuratu,Q24905,L224503-S1,akuran hartu
L224503,akuratu,Q24905,L224503-S2,akuran eman
L49698,akuri,Q1084,L49698-S1,"(Zool.) buru eta gorputz handia, oin motzak eta isatsik ez duen ugaztun karraskaria. Jatorriz amerikarra da eta laborategiko saiakuntzetan oso erabilia da (Cavia porcellus)"
L290592,akusatibo,Q7233569,L290592-S1,"(Hizkl.) hizkuntza ez-ergatiboetan, osagarri zuzenaren kasua. Euskaraz ez dago akusatiborik"
L51418,akusatu,Q1084,L51418-S1,hoben edo huts bat egozten zaion pertsona
L48886,akusatzaile,Q1084,L48886-S1,"akusatzen duen pertsona, salatzailea"
L51429,akusazio,Q1084,L51429-S1,akusatzea (ekintza eta ondorioa); salaketa
L51429,akusazio,Q1084,L51429-S2,(Zuz.) parte akusatzailea
L51429,akusazio,Q1084,L51429-S3,(Zuz.) parte akusatzaileak erruztatuari egotzitako kargu bakoitza
L51462,akustika,Q1084,L51462-S1,(Fis.) soinuak eta soinu-uhinak aztertzen dituen fisikaren atala
L51462,akustika,Q1084,L51462-S2,soinu-hedapena kontuan hartuz leku batek duen ezaugarri-multzoa
L290593,akustiko,Q7233569,L290593-S1,akustikari dagokiona
L290594,akutu,Q7233569,L290594-S1,"(Med.) gaixotasunez mintzatuz, hasiera azkarra, iraupen laburra eta sintoma nabarmenak dituena"
L290594,akutu,Q7233569,L290594-S2,"(Med.) minaz mintzatuz, zorrotza"
L231045,akzidente,Q1084,L231045-S1,(Fil.) berezko existentziarik ez duen eta gauzei atxikirik ageri den ezaugarria
L48914,akzio,Q1084,L48914-S1,"(Ekon.) sozietate anonimo batean, kapitala banatuta dagoen zati bakoitza; kapital-zati horren jabetza egiaztatzen duen agiria"
L48914,akzio,Q1084,L48914-S2,(Fis.) sistema batek beste bati egiten dion indarra (akzio-erreakzioen printzipioa enuntziatzean erabiltzen da batik bat)
L260696,akziodun,Q34698,L260696-S1,sozietate anonimo bateko akzioa duena
L50853,alaba,Q1084,L50853-S1,emakumezkoa bere gurasoekiko
L50853,alaba,Q1084,L50853-S2,emakumezko erlijiosoen ordena batzuk izendatzeko hitza
L48695,alababitxi,Q1084,L48695-S1,emakumezkoa bere bataioko aitabitxi edo amabitxiarekiko
L231046,alabaizun,Q1084,L231046-S1,ugazalaba
L51355,alabaorde,Q1084,L51355-S1,norbaitek alabatzat hartzen duen emakumezkoa
L49805,alabastro,Q1084,L49805-S1,"harri zuri, zeharrargitsu eta biguna, eskulturan oso erabilia"
L231047,alabatasun,Q1084,L231047-S1,alabak gurasoekiko duen jatorri-lotura
L230861,alabatzako,Q1084,L230861-S1,norbaitek alabatzat hartzen duen emakumezkoa
L208712,alafede,Q83034,L208712-S1,ustekabea edo sorpresa adierazteko hitza
L231048,alagar,Q1084,L231048-S1,"malda, inklinazioa"
L231048,alagar,Q1084,L231048-S2,goialdea
L290595,alai,Q7233569,L290595-S1,"bizidunez mintzatuz, alaitasuna edo umore ona duena"
L290595,alai,Q7233569,L290595-S2,"gauzez mintzatuz, alaitasuna adierazten duena, alaitasunez betea"
L290595,alai,Q7233569,L290595-S3,"koloreez mintzatuz, bizia"
L231049,alaialdi,Q1084,L231049-S1,alaitasunezko unea
L290596,alaigarri,Q7233569,L290596-S1,alaitzen duena
L51413,alaitasun,Q1084,L51413-S1,"bizitzeko poza sentitzen duenaren, barre egiteko joera duenaren egoera edo nolakotasuna"
L223055,alaitu,Q24905,L223055-S1,alaitasunez bete
L208710,alajaina,Q83034,L208710-S1,ustekabea edo sorpresa adierazteko hitza
L208726,alajainetan,Q83034,L208726-S1,alajaina
L208711,alajainkoa,Q83034,L208711-S1,ustekabea edo sorpresa adierazteko hitza
L49044,alaka,Q1084,L49044-S1,(Teknol.) bi azal elkartzen direnean ertz bizirik izan ez dadin egiten den azal inklinatua
L49982,alamen,Q1084,L49982-S1,marmarra
L51366,alanbike,Q1084,L51366-S1,"likidoak, alkoholdunak bereziki, destilatzeko tresna, likidoa berotzen den galdaraz, lurruna ateratzen den hodiaz eta lurrun hoztu likidotua jasotzen duen beste ontzi batez osatua"
L50747,alanbre,Q1084,L50747-S1,"edozein metalezko eta bereziki altzairu gozozko haria, malgutasun eta zailtasun handikoa"
L50631,alarau,Q1084,L50631-S1,"oihu ozena, bereziki oinaze edo amorruzkoa"
L51618,alarde,Q1084,L51618-S1,(Mil.) soldaduen eta haien armen ikuskapena
L290597,alargun,Q7233569,L290597-S1,ezkontidea hil zaion eta berriro ezkondu ez den pertsona
L225519,alargundu,Q24905,L225519-S1,alargun gelditu
L49392,alarguntasun,Q1084,L49392-S1,alarguntza
L50019,alarguntza,Q1084,L50019-S1,alargunaren egoera
L51764,alarma,Q1084,L51764-S1,arrisku-kasuan ematen den abisua edo seinalea
L51764,alarma,Q1084,L51764-S2,nolabaiteko arriskua dagoela adierazteko aparatu edo gailua
L231050,alartze,Q1084,L231050-S1,atearen behealdea osatzen duen harmaila
L231051,alba,Q1084,L231051-S1,(Erl.) meza ematean apaizak daraman jantzi zuri luzea
L225616,albaindu,Q24905,L225616-S1,"albainuz josi, behin-behineko jostura egin"
L231052,albainorratz,Q1084,L231052-S1,albaintzeko erabiltzen den jostorratza
L52134,albainu,Q1084,L52134-S1,hari-zuntza
L52134,albainu,Q1084,L52134-S2,"hari hauskorra, behin-behineko jostura egiteko erabiltzen dena; jostura bera"
L225013,albainutu,Q24905,L225013-S1,jostorratzaren begitik hari-zuntza sartu
L48880,albaitari,Q1084,L48880-S1,"abereen eta, oro har, animalien osasuna zaintzen duen pertsona"
L49287,albaitaritza,Q1084,L49287-S1,animalien eritasunez eta berorien sendabideez arduratzen den jakitatea
L49287,albaitaritza,Q1084,L49287-S2,"unibertsitateko ikasketak burutu ondoren, animalien osasuna zaintzeko lanbidea"
L50741,albaka,Q1084,L50741-S1,"(Bot.) landare-mota, urterokoa eta jatorriz indiarra dena. Hostoak usaina emateko eta janariak ontzeko erabiltzen dira (Ocimun basilicum)"
L260697,albaniar,Q34698,L260697-S1,nagusiki Albanian bizi den herriko kidea; herri horri dagokiona
L260697,albaniar,Q34698,L260697-S2,Albaniako herritarra; Albaniari dagokiona
L50421,albaniera,Q1084,L50421-S1,nagusiki Albanian hitz egiten den hizkuntza indoeuroparra
L231053,albaramendu,Q1084,L231053-S1,"altxamendua, errebolta"
L231053,albaramendu,Q1084,L231053-S2,(Zuz.) sedizioa
L231054,albate,Q1084,L231054-S1,"ubide, presa eta abarretan, uraren igarotzea gobernatzeko ezartzen den eragozgarri mugikorra"
L231055,albatros,Q1084,L231055-S1,(Zool.) itsas hegazti batzuen izen arrunta. Tamaina handikoak dira eta 4 m-ko hego-luzera izan dezakete. Lumajea argia da gorputzean eta iluna hegoetan. Itsasoan bizi dira eta umetzeko soilik lurreratzen dira
L49443,albeolo,Q1084,L49443-S1,barrunbe edo hobi txikia
L49443,albeolo,Q1084,L49443-S2,(Anat.) hortza masailezurrean finkaturik dagoen barrunbea
L49443,albeolo,Q1084,L49443-S3,(Anat.) bronkio-adarkaduraren azkeneko zaku-hondoetako bakoitza
L231056,alberdania,Q1084,L231056-S1,"jolasa, txantxa, bereziki lotsagarria edo lohia"
L231056,alberdania,Q1084,L231056-S2,nagikeria
L52035,alberjinia,Q1084,L52035-S1,"(Bot.) landare-mota, urterokoa eta izen bereko fruitua ematen duena (Solanum melongena)"
L52035,alberjinia,Q1084,L52035-S2,"(Bot.) landare horren fruitua, morea, obala edo mazo-formakoa eta jangarria dena"
L231057,albinismo,Q1084,L231057-S1,"(Med.) melaninaren metabolismo-akatsaren ondorioz, sortzetiko anomalia hereditarioa. Oso larruazal zuria, ile zuri edo horia eta iris arrosa ditu ezaugarritzat. Gizakiak eta animaliek izan dezakete"
L290598,albino,Q7233569,L290598-S1,"sortzez larruazala, ilea eta begiak ohiko pigmenturik gabe, eta beraz ohi baino zuriago, dituen pertsona edo animalia"
L231058,albiriste,Q1084,L231058-S1,berri onak dakartzanari ematen zaion saria
L48991,albistari,Q1084,L48991-S1,kazetaria
L49564,albiste,Q1084,L49564-S1,"gertaera baten adierazpena, berria"
L50700,albistegi,Q1084,L50700-S1,"ikus-entzunezko komunikabideetan, albisteak ematen diren tartea edo programa"
L50620,albo,Q1084,L50620-S1,gorputzaren saihetsa
L50620,albo,Q1084,L50620-S2,zerbaiten edo norbaiten eskuineko edo ezkerreko aldea
L231059,alboka,Q1084,L231059-S1,"(Mus.) Euskal Herrian erabiltzen den haize-instrumentua. Kanaberazko bi hodiz eta haien buruetan itsasten diren bi behi-adar zatiz osatua da. Aldi berean arnasa hartuz eta botaz jotzen da; soinua etengabea da, beraz"
L269575,albokari,Q1084,L269575-S1,alboka jotzen duen musikaria
L269575,albokari,Q1084,L269575-S2,"(Hizkl.) behealdetik mihia eta goialdetik hortzak edo ahosabaia elkartuz, airea mihiaren bi aldeetatik igarotzen dela gauzatzen den kontsonantea"
L267831,alboko,Q12259986,L267831-S1,(Hizkl.) albokaria
L51061,alboko,Q1084,L51061-S1,aldamenekoa; norberaren etxebizitzaren ondoko bizilaguna
L51061,alboko,Q1084,L51061-S2,gorputzaren albo batean emandako edo hartutako kolpea
L51061,alboko,Q1084,L51061-S3,(Hizkl.) albokaria
L231060,alborada,Q1084,L231060-S1,(Mus.) egunsentiari abestea helburutzat duen konposizio musikal edo poetikoa
L230855,alborakuntza,Q1084,L230855-S1,"(Hizkl.) prozedura sintaktikoa, bi perpaus edo gehiago elkarri alboratuz (haien arteko juntadura- edo menderakuntza-erlazioaren adierazgarri den elementurik gabe) uztartzean datzana (adibidez, eguraldi txarra dago, etxean geratuko naiz)"
L223247,alboratu,Q24905,L223247-S1,"alboan jarri, alboraino hurbildu, alderatu"
L223247,alboratu,Q24905,L223247-S2,"erditik kendu, alde batera utzi, urrundu, aldaratu"
L269655,alboratu,Q7233569,L269655-S1,"(Hizkl.) perpausez mintzatuz, alborakuntzaz elkartutakoa"
L49809,alborengo,Q1084,L49809-S1,pneumonia
L49144,albufera,Q1084,L49144-S1,itsasotik lur-zerrenda batez banandurik dagoen ur gazia
L48976,album,Q1084,L48976-S1,"kartoizko orriak dituen koaderno-antzekoa, seilu, argazki, marrazki eta abarren bilduma egiteko erabilia"
L48976,album,Q1084,L48976-S2,(Mus.) iraupen luzeko diskoa
L49032,albumen,Q1084,L49032-S1,"oboalbumina eta beste zenbait proteina dauzkan arrautza-zatia, arrautza-zuringoa"
L231061,albumina,Q1084,L231061-S1,uretan disolbagarri diren eta beroarekin koagulatzen diren proteina bakun batzuen izena
L51692,aldaba,Q1084,L51692-S1,"ateetako burdinazko edo brontzezko pieza, etxean deitu ahal izateko jartzen dena"
L231062,aldabarra,Q1084,L231062-S1,"oletan, gabiari eusten dioten burdinazko bi piezetako bakoitza"
L290599,aldabera,Q7233569,L290599-S1,aldakorra
L230916,aldaberatasun,Q1084,L230916-S1,aldabera denaren nolakotasuna
L48712,aldaera,Q1084,L48712-S1,oinarri edo eredutzat hartzen denarekiko alde edo desberdintasunen bat duen beste era bat
L48712,aldaera,Q1084,L48712-S2,aldaketa
L290600,aldaezin,Q7233569,L290600-S1,ezin alda daitekeena; aldatzen ez dena
L49380,aldagai,Q1084,L49380-S1,"(Mat.) hainbat zenbaki-balio har ditzakeen ikur edo gaia, gehienetan letra baten bidez adierazten dena"
L49380,aldagai,Q1084,L49380-S2,alda daitekeena
L50377,aldagailu,Q1084,L50377-S1,aldagarria
L50377,aldagailu,Q1084,L50377-S2,aldaketa
L50377,aldagailu,Q1084,L50377-S3,"bizikletetan, katea pinoiak eta platerak dituzten hortzen gainean mugiarazten duen mekanismoa"
L50377,aldagailu,Q1084,L50377-S4,"(Autom.) ibilgailu motordunetan, mugimendua motorretik gurpil eragileetara transmititzen duen mekanismoa, palanka eta abiadura-kaxaz osatua"
L290601,aldagaitz,Q7233569,L290601-S1,nekez aldatzen dena
L52060,aldagarri,Q1084,L52060-S1,"jantzia, soinekoa"
L52060,aldagarri,Q1084,L52060-S2,batera aldatzen diren azpiko jantzien multzoa
L49097,aldagela,Q1084,L49097-S1,"hainbat eraikin publiko edo kirol-instalaziotan (bainuetxe, kiroldegi eta abarretan) arropa aldatzeko erabiltzen diren geletako bakoitza"
L49097,aldagela,Q1084,L49097-S2,zinema edo antzerkiko aktoreak kamera edo jende aurrera irten aurretik makillatzen eta aldatzen diren gela
L49097,aldagela,Q1084,L49097-S3,baserri batzuetan ate nagusitik bi aldeetara dauden geletako bakoitza
L231063,aldaira,Q1084,L231063-S1,"aldaketa, eta bereziki etxe-aldaketa"
L49008,aldaka,Q1084,L49008-S1,(Anat.) beheko gorputz-adarrak enborrarekin elkartzen diren lekua; pelbisak gorputzaren albo bakoitzean eratzen duen irtengunea
L49008,aldaka,Q1084,L49008-S2,"aldamena, alboa"
L49008,aldaka,Q1084,L49008-S3,ipurtaldea
L49008,aldaka,Q1084,L49008-S4,(Bot.) kimua
L51382,aldaketa,Q1084,L51382-S1,aldatzea (ekintza eta ondorioa)
L49404,aldaki,Q1084,L49404-S1,kopia
L49404,aldaki,Q1084,L49404-S2,"aldaera, eredutzat hartzen den zerbaitekiko alde edo desberdintasunen bat duen beste era bat"
L290602,aldakor,Q7233569,L290602-S1,"pertsonez mintzatuz, iritziz, asmoz eta abarrez aldatzeko joera duena"
L290602,aldakor,Q7233569,L290602-S2,"gauzez mintzatuz, erraz aldatzen dena"
L290602,aldakor,Q7233569,L290602-S3,aldatuz doana
L51687,aldakortasun,Q1084,L51687-S1,aldakorra denaren nolakotasuna
L49046,aldakuntza,Q1084,L49046-S1,"aldatzea (ekintza eta ondorioa); bereziki, aldaketa orokor edo abstraktua"
L51977,aldamen,Q1084,L51977-S1,alboa
L60650,aldameneko,Q1084,L60650-S1,"auzokoa, norberaren ondoko etxean bizi dena"
L51911,aldamio,Q1084,L51911-S1,(Eraik.) egin behar den lanaren mailara iristeko egiten den behin-behineko egitura
L51911,aldamio,Q1084,L51911-S2,galeria
L48870,aldapa,Q1084,L48870-S1,bideak edo mendiak plano baten abiapuntutik goraka egiten duen tartea
L48870,aldapa,Q1084,L48870-S2,"lur-eremu, bide eta abarren bi alderdiren arteko garaiera-diferentzia"
L231064,aldaparo,Q1084,L231064-S1,"alorrak ureztatzeko, errota ibilarazteko ubidea"
L290603,aldapatsu,Q7233569,L290603-S1,"oso aldapan dagoena, aldapa handikoa"
L290603,aldapatsu,Q7233569,L290603-S2,aldapaz betea
L231065,aldarapen,Q1084,L231065-S1,aldaratzea
L231065,aldarapen,Q1084,L231065-S2,(Fis.) bi gorputz indar baten eraginez elkarrengandik urruntzea
L223710,aldaratu,Q24905,L223710-S1,"alboratu, erditik kendu; bereizi"
L223710,aldaratu,Q24905,L223710-S2,urrundu
L223710,aldaratu,Q24905,L223710-S3,zerbait tokiz aldatu
L52214,aldare,Q1084,L52214-S1,jainkoei opariak eskaintzeko leku jasoa edo harria
L52214,aldare,Q1084,L52214-S2,"kristau-erlijioan, meza emateko mahaia, berez harrizkoa"
L231066,aldaro,Q1084,L231066-S1,"zutik ezin egon denak aldamenka egiten dituen pauso eragabeak, balantzak"
L48962,aldarri,Q1084,L48962-S1,"oihua, bereziki zerbait aditzera ematekoa"
L226255,aldarri egin,Q24905,L226255-S1,"oihukatu, aldarriak bota"
L50862,aldarrikapen,Q1084,L50862-S1,aldarrikatzea (ekintza eta ondorioa)
L49422,aldarrikari,Q1084,L49422-S1,udal-dei edo iragarkiak aldarrikatzen zituen pertsona
L222687,aldarrikatu,Q24905,L222687-S1,"zerbaiten berri aldarri eginez eman, aldarri eginez adierazi"
L222687,aldarrikatu,Q24905,L222687-S2,zerbaiten eskakizun edo defentsa aldarri eginez egin
L222687,aldarrikatu,Q24905,L222687-S3,"independentzia, erregimen politiko bat, lege bat eta abar indarrean sartzea ofizialki adierazi"
L50583,aldarte,Q1084,L50583-S1,aldakorra den zerbaiten egoera bakoitza
L50583,aldarte,Q1084,L50583-S2,pertsonaren gorputz edo gogoaren egoera
L50583,aldarte,Q1084,L50583-S3,"unea, aukera"
L290604,aldartetsu,Q7233569,L290604-S1,"pertsonaren aldarteaz edo gogoaz mintzatuz, gorabehera asko dituena"
L48877,aldats,Q1084,L48877-S1,"aldapa, malda"
L222731,aldatu,Q24905,L222731-S1,zerbaiten edo norbaiten ordez kideko bat jarri edo hartu
L222731,aldatu,Q24905,L222731-S2,desberdin bilakatu edo bilakarazi
L222731,aldatu,Q24905,L222731-S3,erabilitako soinekoa zein estalkia erantzi eta berria edo garbia jantzi
L222731,aldatu,Q24905,L222731-S4,toki batetik beste batera bertan gelditzeko asmoz joan edo eraman
L222731,aldatu,Q24905,L222731-S5,landatu
L290605,aldatzaile,Q7233569,L290605-S1,zerbait aldatzen duena
L230867,aldatzeko,Q1084,L230867-S1,"aldagarria, aldatzen den arropa"
L230867,aldatzeko,Q1084,L230867-S1,zmienić
L50880,aldaxka,Q1084,L50880-S1,adar ez-nagusia
L50880,aldaxka,Q1084,L50880-S2,kimu berria
L50880,aldaxka,Q1084,L50880-S3,"(Bot.) ugalketa begetatiborako erabiltzen den edozein landare-zati (adar, hosto, sustrai eta abar)"
L225014,aldaxkatu,Q24905,L225014-S1,"kimatu, kimuak eman"
L60647,alde,Q1084,L60647-S1,"gauza edo puntu bati buruz, haren ingurua; hura inguratzen duen bitartetik nolabait bereizten den zatia"
L60647,alde,Q1084,L60647-S2,azal baten kontrako bi plano paraleloetako bakoitza
L60647,alde,Q1084,L60647-S3,gauza biren arteko desberdintasuna
L60647,alde,Q1084,L60647-S4,"izaki edo gauza abstraktuei buruz, alderdia"
L60647,alde,Q1084,L60647-S5,(Mat.) poligono bat ixten duten lerroetako bakoitza; angelu bat osatzen duten bi lerroetako bakoitza
L60647,alde,Q1084,L60647-S6,"zenbaki batek mugatzen duen izen-sintagma bati dagokiola, kopuru hori gutxi gorabeherakoa dela adierazten duen hitza"
L60647,alde,Q1084,L60647-S7,"hitz elkartuetan izen eta aditzoinei erantsita ageri ohi den eta atzizki-balioa hartzen duen hitza; izenei erantsita, lehen osagaiak adierazten duena dagoen lekua edo ingurua adierazten duten izenak (itsasalde, lurralde, mendialde) eta aditzoinei erantsita, dagokien ekintza gertatzen den lekua edo ingurua adierazten duten izenak (sortalde, sartalde) sortzen ditu"
L226163,alde egin,Q24905,L226163-S1,"leku batetik edo norbaitengandik joan, urrutiratu, bereziki arin edo ihesi"
L290606,aldeaniztun,Q7233569,L290606-S1,alde askokoa
L290607,aldebakar,Q7233569,L290607-S1,alde bakarra duena; alde bakar bati soilik dagokiona
L290607,aldebakar,Q7233569,L290607-S2,"alderdi batek soilik hartua, elkarrekikoa ez dena"
L290608,aldebakarreko,Q7233569,L290608-S1,alde edo alderdi bat bakarrik betetzen duena
L290609,aldeberdin,Q7233569,L290609-S1,"(Mat.) irudi geometrikoez mintzatuz, alde berdinak dituena"
L290610,aldebiko,Q7233569,L290610-S1,bi zati edo alderdiri dagokiona
L231067,aldehido,Q1084,L231067-S1,"(Kim.) -CHO taldea duten konposatu organikoen izen generikoa. Alkoholak kontrolpean oxidatuz lortzen dira, eta oso erraz oxidatzen dira; horren ondorioz, azidoak sortzen dira"
L290611,aldekide,Q7233569,L290611-S1,(Mat.) aldeberdina
L267832,aldeko,Q12259986,L267832-S1,"norbaiten edo zerbaiten alde dagoena, edo egiten dena"
L225455,aldendu,Q24905,L225455-S1,urrundu
L50614,alderaketa,Q1084,L50614-S1,alderatzea (ekintza eta ondorioa)
L51201,alderantzi,Q1084,L51201-S1,"zerbaiten azpiko aldea, zerbaiten edo norbaiten beste aldea"
L224144,alderantzikatu,Q24905,L224144-S1,"zerbaitek berezkoa duen edo unean duen jarrera, ordena, noranzkoa eta abar kontrakoa hartuz aldatu"
L267833,alderantzizko,Q12259986,L267833-S1,"berezko edo unekoaren kontrako jarrera, ordena, noranzkoa eta abar duena"
L222965,alderatu,Q24905,L222965-S1,"hurbildu, ondoratu, alboratu"
L222965,alderatu,Q24905,L222965-S2,izaki batzuen arteko berdintasun-desberdintasunak aztertu
L52182,alderdi,Q1084,L52182-S1,"zerbaiten aldea, zatia"
L52182,alderdi,Q1084,L52182-S2,"lurraldea, eskualdea; bereziki ezaugarri jakinen bat duena"
L52182,alderdi,Q1084,L52182-S3,gorputzaren zati bakoitza; gorputzaren erdia
L52182,alderdi,Q1084,L52182-S4,kanpoko organo sexualak
L52182,alderdi,Q1084,L52182-S5,zerbaitek agertzen duen alde edo era bakoitza
L52182,alderdi,Q1084,L52182-S6,iritzi eta helburu politiko jakin bat duten pertsonak biltzen dituen erakundea
L290612,alderdikari,Q7233569,L290612-S1,alderdikoia
L231068,alderdikeria,Q1084,L231068-S1,"zerbait alde bakar batetik, iritzi bakar baten arabera epaitzea; horrela diharduenaren jokabidea"
L49204,alderdikide,Q1084,L49204-S1,alderdi bereko kidea
L49204,alderdikide,Q1084,L49204-S2,alderdi jakin bateko kidea
L290613,alderdikoi,Q7233569,L290613-S1,alderdi baten interesen eta helburuen mendeko dena
L290614,alderrai,Q7233569,L290614-S1,"alde batetik bestera, noraezean dabilena"
L50792,alderri,Q1084,L50792-S1,aldiria
L231069,aldezkari,Q1084,L231069-S1,"aldekoa, defendatzailea"
L223509,aldeztu,Q24905,L223509-S1,norbaiten edo zerbaiten alde egin
L49731,aldi,Q1084,L49731-S1,"denbora, garaia"
L49731,aldi,Q1084,L49731-S2,gertaera edo ekintza baten gauzatze bakoitza
L49731,aldi,Q1084,L49731-S3,txanda
L49731,aldi,Q1084,L49731-S5,"norbaitek bere umorean izan dezakeen aldakuntza, aldartea"
L49731,aldi,Q1084,L49731-S6,"(Hizkl.) aditzaren gramatika-kategoria, adizkiak duen denbora gramatikala azaltzen duena"
L49731,aldi,Q1084,L49731-S7,(Mus.) konpasaren zatietako bakoitza
L49731,aldi,Q1084,L49731-S8,"hitz elkartuetan izen eta aditzoinei erantsita ageri ohi den eta atzizki-balioa hartzen duen hitza; izenei erantsita, lehen osagaiak adierazten duena gertatzen den denbora-tartea adierazten duten izenak (jaialdi, borrokaldi, indarraldi) eta aditzoinei erantsita, dagokien ekintza edo gertaera adierazten duten izenak (egonaldi, ibilaldi, agerraldi) sortzen ditu"
L49731,aldi,Q1084,L49731-S4,denboran zehar gertatzen den zerbaitetan bereiz daitezkeen zatietako bakoitza
L267834,aldibereko,Q12259986,L267834-S1,"beste zerbaiten aldi berean gertatzen, existitzen dena"
L231070,aldiberekotasun,Q1084,L231070-S1,beste zerbaiten aldi berean gertatzen denaren nolakotasuna
L231071,aldikada,Q1084,L231071-S1,denboraldia
L49799,aldiri,Q1084,L49799-S1,herri edo hiri baten inguruko auzo edo herrixka
L260698,aldiritar,Q34698,L260698-S1,aldirian jaioa
L290615,alditsu,Q7233569,L290615-S1,aldakorra
L290615,alditsu,Q7233569,L290615-S2,"Ilargi-joa, eroa, aldartetsua"
L51125,alditxar,Q1084,L51125-S1,gorputzeko ondoeza
L51125,alditxar,Q1084,L51125-S2,konorte-galtzea
L223825,alditxartu,Q24905,L223825-S1,alditxarrak joa gertatu
L49476,aldiune,Q1084,L49476-S1,une laburra
L267835,aldiuneko,Q12259986,L267835-S1,"aldiune batean, denbora laburrean gertatzen dena"
L267836,aldizkako,Q12259986,L267836-S1,aldizka gertatzen dena
L51955,aldizkari,Q1084,L51955-S1,agerraldi-tarte jakinez argitaratzen den izkribu inprimatua
L231072,aldizkaritegi,Q1084,L231072-S1,aldizkariak eta egunkariak gordetzen diren lekua
L223531,aldizkatu,Q24905,L223531-S1,"denboraren ildoan bi gauza edo gehiago txandaka gertatu, egin; txandakatu"
