lexeme,lemma,statement
L1910,alamenari,L1910-5FB94B6E-0A22-445F-A170-004927C0849A
L1911,alamendu,L1911-E9BB9580-7464-4CD1-8455-B8ABDD8AF6CA
L1912,alamenka,L1912-F86688F2-D11B-4840-A52D-87ED6C886079
L1913,alamortzu,L1913-C1E12AD1-5AAC-4BE4-9AB2-41409C41B615
L1914,alan,L1914-9CF5672B-F0B7-4B7F-ADF7-4E26A1F8897B
L1915,alanbre,L1915-C6888B56-7670-4885-8B02-FB6D7B7FC822
L1916,alanbretu,L1916-3010A885-2B44-44E6-A0C5-939CB449D83C
L1917,alapide,L1917-54B3A803-0C43-4798-B6C4-19089F0EAF3F
L1918,alara,L1918-3EDC9670-5435-4D90-B814-66991709A6BC
L1919,alarabe,L1919-52713FD9-7EF5-47DB-BB3B-BE114FADA11D
L1920,alarao,L1920-A62BA0D5-38CE-4D56-BF7A-FAF75772D1BB
L1921,alaraoka,L1921-826DACF5-C58B-40C6-B55E-611B8FDBDBA3
L1922,alarazi,L1922-3FE5C7BA-B540-4CC4-B41C-1FC60EF3F0AF
L1923,alarazle,L1923-ECBB582F-BEDE-4341-8C40-2E5585383108
L1924,alargun,L1924-C9C2E853-0571-47CD-9F52-0F619DF10A2B
L1925,alargundu,L1925-AD924976-1EF4-411C-BFE7-2E1397E8B426
L1926,alarguntasun,L1926-9A34B8F3-9CFB-4A0D-8B77-1A04683E3E67
L1927,alarguntsa,L1927-5A86C90E-1806-40FC-B099-6AF3CF824DBE
L1928,alarguntsatu,L1928-E21E1D1A-9773-449D-93FF-2E66ABAE90A4
L1929,alarguntza,L1929-92792943-AA2F-4DCD-9A0D-86034E36CAF3
L1930,alaro,L1930-48B661BC-9AF6-40FD-8654-2E2BE0912621
L1931,alartze,L1931-41DBC156-7ADB-4F64-B6D9-29B8B216F17A
L1932,alasa,L1932-6F60A89F-07ED-4AD7-A8DB-A296CC9AE9B2
L1933,alasai,L1933-17D8ADEC-8FBB-4553-8365-790D218853CF
L1934,alhase,L1934-5DAE09BC-73C9-49F7-BC25-3A37653F1093
L1935,alastrena,L1935-F10836CC-1581-443A-9A0F-474444C06EAC
L1936,alatan,L1936-773F7610-61B7-44EF-854D-CD797626C64F
L1937,halatan,L1937-B21D0E16-A8F5-446A-9879-578C05E00783
L1938,alatsu,L1938-D96254FD-625C-4D97-9B1F-45B562B2B51B
L1939,halatsu,L1939-4531574A-71A8-4E1B-AACA-78E088DAD3F2
L1940,alatu,L1940-E79B3E2F-C8C2-426B-A06C-D85C367BBF78
L1941,alatxa,L1941-C38FC51A-AC63-4566-A0C5-31B426D9A203
L1942,alatxari,L1942-9B98D27F-17AF-4A72-9B67-C00738D168E2
L1943,alatz,L1943-70A0ABCA-636C-4BAD-BBE7-8E1094EB576F
L1944,alatzaile,L1944-053AA396-078B-4F81-8E6E-0E8BDBE6666E
L1945,alatzar,L1945-4AC5D18D-2EAD-4D1F-BCC5-42C174337929
L1946,alatzaro,L1946-2CC0ECB9-A9CF-48CF-BB70-212FD200206A
L1947,alatzera,L1947-9E6EEE62-E35A-4888-AEA0-DF2AE82343DA
L1948,alaua,L1948-5BC3A58E-0E8D-4124-BD95-31B3DAFB1046
L1949,alauda,L1949-E4B94422-9EFC-407A-BEB7-015DB3232C7F
L1950,alaune,L1950-C460A9DB-C560-4FCE-BFAA-687E038B5EC0
L1951,halaxe,L1951-445A8CFD-1428-4CD5-91A0-DE66DC2504E7
L1952,halaxen,L1952-C97D61C4-927A-427A-8944-012A0C43DCC9
L1953,halaxet,L1953-A9DC0460-4E76-4882-A23F-B73E8F57F932
L1954,alaxintxo,L1954-7E3A7ECE-17FC-426A-BE88-B643FA284A53
L1955,halaz,L1955-480D5A89-E69B-4B0B-AF6B-070531CC1706
L1956,alazagiña,L1956-9DDC22BB-3CCE-41C2-82C2-17FF50F8FF6B
L1957,alazainko,L1957-5BA48E0E-D3B3-4DF4-BAF1-C08B29C4FD83
L1958,alazgile,L1958-CB03264E-D91B-48DE-97FB-3C980F3BD274
L1959,alazo,L1959-5E1458EB-7973-4D4C-9060-3FC9FCC4506F
L1960,alazoko,L1960-C63F2877-5828-4677-8D3C-C1E29A50B548
L1961,alba,L1961-67ED3A97-4B93-4F6B-B9A2-1E7FDB2EF529
L1962,albadar,L1962-E1FDEDDD-C413-47A9-A5E6-B0A326E12D73
L1963,albagela,L1963-79EDE109-5A65-4306-82E8-A9918E90AE8F
L1964,albagiltz,L1964-864F4DC4-8202-4FE3-83A8-A04FF96C40C1
L1965,albagin,L1965-C2E9106D-D07A-4A75-9258-AB2C8351CCC9
L1966,albaill,L1966-CBCF25C9-F0CA-468C-A834-6558D6D5F47B
L1967,albain,L1967-BC313EEE-61D6-4B7C-AAD8-25F9316AB47B
L1968,albaindeko,L1968-EAFC65DB-87C0-4C50-9B67-985126FC6DE5
L1969,albaindu,L1969-174CDC91-3FFB-4BB5-99FA-8AF8C0ABF1E4
L1970,albainka,L1970-2415F23D-1196-4E5F-8B94-D0830A4884E8
L1971,albainu,L1971-CEB58744-3DE5-46A1-89F0-CB38FC975274
L1972,albainutu,L1972-E2FAA5DB-10FE-4B0C-9D82-BE710CD71ED7
L1973,albaitero,L1973-2893437A-9A05-4255-BD27-D78429AA9830
L1974,albaitinkaka,L1974-72DBE435-811B-4F4C-AEFA-2283EB18BC7D
L1975,albaka,L1975-AD03526D-7060-41EA-839A-E38CC90D5990
L1976,albakada,L1976-28374128-A523-4837-BFA0-9F1A4174BF32
L1977,albakalde,L1977-568F1F83-35FE-471F-AEF6-1B1642EBE4DF
L1978,albako,L1978-BF7EAA2E-2AED-4A94-BEFF-CDF6004C98CD
L1979,albano,L1979-1BEFBC00-B09B-4C70-B3C9-6ACD7669B6AF
L1980,albantxi,L1980-CA610934-B4DC-463C-8544-F839B222305F
L1981,albar,L1981-34B43830-B3A7-467D-B87B-3863D2B86914
L1982,albarai,L1982-9235107A-71EC-4D53-9469-65D6A4879007
L1983,albaraka,L1983-61BE5B25-5B79-4CB8-8C3E-19ACE9B37CBE
L1984,albaramendu,L1984-C2F8A570-A527-4242-99E5-43631B077F9D
L1985,albarazale,L1985-8205339A-2334-446A-AB2B-06AD58DD861F
L1986,albarda,L1986-F0A8AC8C-8DD4-4945-AA7D-9C7C158951F1
L1987,albardon,L1987-019CBA38-676E-4EA3-810E-4DDCB790A656
L1988,albariko,L1988-44C0FC45-1AF6-4424-8A44-E8BE5208B975
L1989,albas,L1989-8DAA9AF5-1097-4DC6-A884-31A4371D215B
L1990,albastoan,L1990-8E962B92-F7EE-42BA-A431-D1B56C39C936
L1991,albata,L1991-6CF369B8-3EC4-40EE-B426-98DEA07D9833
L1992,albate,L1992-536D153F-E0DC-4EBF-84BC-AB4885D3DB74
L1993,albaz,L1993-7961C168-11AE-41A0-9876-1E220F75EFC5
L1994,albear,L1994-A05252E8-2F2C-4F17-8C2E-B5E5B1205A3D
L1995,albenda,L1995-731B1A9E-CF7F-4ECB-9B81-1AC5626606E7
L1996,albeni,L1996-2FBBD1C8-F2A6-415A-9101-49B25AAFD8ED
L1997,albenitu,L1997-00436747-607F-4E52-A7CE-46591388B4CE
L1998,albeniz,L1998-1912E7F0-984D-4409-B92B-5694E76DDBE7
L1999,alber,L1999-3D550715-B0ED-4E9D-90BC-2E42ACA549A5
L2000,alberdania,L2000-95272FCA-4361-4E3E-A436-8A94410F5580
L2001,alberrama,L2001-04F669AB-B5DE-4F2C-AB67-BCD73AE44EFF
L2002,alberri,L2002-50AC2C61-CF03-4864-9A15-4B310BF916C6
L2003,albertenzia,L2003-CD92C08C-59C8-4635-AD7F-CDAD99CD4A11
L2004,albertxiko,L2004-421EC2CE-8889-48C2-B4FD-FA4525F3363C
L2005,albesteko,L2005-5EB7D134-F202-466C-B774-696F3149333D
L2006,albetxe,L2006-F047AE34-608A-452D-B2FB-2D4B1609B69E
L2007,albi,L2007-81907931-38B6-41FD-BB1F-93C3E02BD16D
L2008,albidade,L2008-5A059588-3928-48BC-AF7E-8F4D33C7B993
L2009,albin,L2009-51755C66-B07F-41A4-B0FA-1849BDBD0E7F
L2010,albiraka,L2010-121DF06C-EFDF-4997-88C9-3861F3B352B4
L2011,albiriste,L2011-24FD2968-664B-459C-9DB4-0E9FA3017742
L2012,albistari,L2012-7D1F272B-1747-416A-AF66-1333E9ADBCB5
L2013,albistaritza,L2013-BDF95150-7928-48B9-B624-C568EF35BDBB
L2014,albistatu,L2014-315A1CFC-0A8F-4736-9D55-0A6318C77BD6
L2015,albiste,L2015-E0734861-14FE-4F74-BB4A-12CF6CA7166E
L2016,albistedun,L2016-54FE995D-2C86-4DEB-9BF9-64919C992E2A
L2017,albitar,L2017-399D4F9D-ECDA-4FEC-B57B-139D1F932157
L2018,albitz,L2018-EDD6947A-7E53-48E7-AFA7-40F6379FD45F
L2019,albixo,L2019-680B094E-2A1A-4CAB-8F80-F2421EAB2157
L2020,albizar,L2020-9ACBC6F5-B6F9-4565-9E0D-A95EDCDB78DE
L2021,albizitu,L2021-AE7CC8E9-519B-4C8E-A42E-44E73A94611D
L2022,albo,L2022-97DC9AB9-6F5C-4832-B109-0A1738391C6C
L2023,alboerri,L2023-8F58F4D0-7DEE-4465-BC00-07655303D27D
L2024,alboka,L2024-CC22CBF7-7650-4627-B2A1-63F5AAE2CFE5
L2025,albokada,L2025-997B8E97-1787-4506-8C99-D57BB54E49A8
L2026,albokari,L2026-8CD8C723-4EFF-4A5F-8E99-FC8BB5335B8C
L2027,albokera,L2027-7096D697-F940-45FC-A075-8BB149C6CF19
L2028,albokero,L2028-F5535689-72CB-4692-933E-E8AE763CCCE6
L2029,alboki,L2029-55044614-04ED-4310-AD31-794954ADB2AB
L2030,alboño,L2030-B598C208-B794-4ADE-904E-0B9EF7F25905
L2031,alborada,L2031-19ADC9B0-E179-412E-8AFB-E2DD5E95E085
L2032,alboratu,L2032-39AC640F-47AD-4943-9BBA-DE67A8EFD10D
L2033,alborengo,L2033-3AA91EB1-44AE-4EBB-884A-6CB096DABE46
L1734,akatatu,L1734-D91FAC85-733F-425E-9CDB-B4AF4AFAE198
L1735,akats,L1735-5B185C92-F037-45A4-AA48-74F00380539E
L1736,akatsge,L1736-A7D45A1F-4442-46EE-8BF6-2F25D6795D2D
L1737,akazatu,L1737-D4A6FDC8-0923-4C04-A504-427BA40AB3DA
L1738,akazazale,L1738-5E2A3C66-3A8C-4D77-AD7B-13C471BC73C1
L1739,akazia,L1739-848003EA-32EF-4CA3-8FF0-0CDE2C6DF2B2
L1740,akein,L1740-376DE9D5-853A-4BD3-9AF9-1D2694962EC2
L1741,akeita,L1741-0E3C526C-C24C-48A6-BA8A-69C03F9BF6DC
L1742,akeitetxe,L1742-D0056BF3-DEAA-4C32-AA3C-4DB70EC145F3
L1743,akelarre,L1743-418710B8-CDE1-415F-9C77-E858A88309A1
L1744,akelemendi,L1744-F7A0E872-5B5C-4016-9067-0D6939D64349
L1745,aker,L1745-033A0BBB-5682-4314-99E0-733A833C14F2
L1746,akerkeria,L1746-4866630C-C503-4004-96BF-F33E7507558B
L1747,akerko,L1747-7289FEDE-2B7B-487D-8DB9-1499DF3BABFB
L1748,akertxikiro,L1748-D9F795FB-EADC-40A1-BF1E-78D3AD4E303C
L1749,akertxo,L1749-67B98EC3-A3AC-4F37-BD69-613D3B5B5B8D
L1750,akertzar,L1750-358D9245-FFF2-4A27-94B7-2E0203A9605D
L1751,aketiren,L1751-B1EA007E-F46F-4DC0-8DEC-74BA4F4CD810
L1752,aketo,L1752-F77CA9AB-679C-4EEA-8A55-AA6842E07779
L1753,aketz,L1753-ABE1D0EB-4DAA-4341-9DE3-CD62AD2100EB
L1754,akexka,L1754-FAC82B94-6ACF-417A-A685-46C51F322677
L1755,aki,L1755-1B9C6ED6-4039-4B65-BAE4-369B6CD99E2D
L1756,akiakula,L1756-25F4935B-E5C8-48ED-BBD8-176A848DE30D
L1757,akialdi,L1757-4F04422C-D633-42EA-A59D-A2C8B7BC9381
L1758,akiarazi,L1758-E703DCFC-DD47-466A-B7E1-D881FF01C9BF
L1759,akidura,L1759-D4E21030-6231-49DD-A5D3-496874E56724
L1760,akien,L1760-86604828-408D-43B5-BA44-ECF7BDD49CE1
L1761,akigabe,L1761-FAFF94D0-B9A1-4E3A-9CC9-D3CF5768CD50
L1762,akigarri,L1762-1C5F660F-25B6-483A-ACAB-EB6F5DACF889
L1763,akio,L1763-0A7353FD-8ACF-4234-95B4-E18B66E6268C
L1764,akitasun,L1764-D5C74263-50E7-479E-A05D-274AE314F1E5
L1765,akitika,L1765-CB3F9863-2C18-42CB-B123-E7D7FD5DF88D
L1766,akitu,L1766-2246251C-0D34-49B4-80B7-9E42F3A9AB74
L1767,akitze,L1767-F375D567-C1C6-41D4-8F4C-3B5E4D457397
L1768,ako,L1768-8645E37A-CCD8-4927-A2F4-7AE8AA110B32
L1769,akobitu,L1769-7589E06D-55F3-4F41-A41A-C65042DDEC65
L1770,akoda,L1770-D9AA56E6-9256-4EE7-B714-9D995D77985E
L1771,akodiña,L1771-B2BFF6B6-6D0F-424A-8F1A-C9FB02631797
L1772,akoi,L1772-78A36E93-FFB3-4BE6-9A16-A2B9D694E426
L1773,akomendagarriak,L1773-3F2078AD-7A82-42FF-8BAE-5E1B0CD5C46A
L1774,akometamendu,L1774-A6956455-AC0E-4EAF-BAD4-735C19E93D46
L1775,akometatu,L1775-3EAAEDD7-CFAD-4C65-BDC1-D373F2D56ED6
L1776,akonitu,L1776-5402B043-D97D-4D00-B1D4-97D3438210F0
L1777,akonkili,L1777-92709269-7EA1-4D08-8579-F03365F01261
L1778,akopilatu,L1778-EDF711EE-8E58-4B3E-BBDA-76E679A234B4
L1779,akordagarri,L1779-C59F00BB-8325-43B3-BD55-6B554F8FCEBA
L1780,akordaldi,L1780-FB217374-1137-489F-BE51-D2F55E4E1989
L1781,akordarazi,L1781-AF2CB13D-2AF7-4E8A-9725-6EE310D93882
L1782,akordatu,L1782-ADA773E6-0337-4B20-9581-F66620FE2AF9
L1783,akordio,L1783-30DB597C-EF5E-4AA9-AB4E-BBE3B458DD32
L1784,akordu,L1784-5D60D20E-397B-48F6-B3B4-CD9905130703
L1785,akorduratu,L1785-7F8DE667-DA76-4496-9860-F712BBE9898C
L1786,akorritu,L1786-022E3526-4239-4B71-B61B-558416619110
L1787,akort,L1787-EBA22A32-BE88-4B36-98F7-15077C9054A4
L1788,akotatu,L1788-4B143687-1D74-4FEC-B594-2CAF40D0FC0C
L1789,akotratu,L1789-853B5132-B9C2-4938-8E45-F7AEFD4B16AC
L1790,akto,L1790-BCDBB5EF-4B6B-4E14-8292-B65BD2E1DD24
L1791,aktual,L1791-E07EFE93-B6A4-48E3-88E0-3DD40487B255
L1792,akuarela,L1792-93F59F23-1B5B-4F53-B4A5-29EF10BF1953
L1793,akuilada,L1793-C692C66C-29D1-4C9F-9C30-998132855B75
L1794,akuilakada,L1794-6937BB88-79B9-4864-B68A-4EB883A7855A
L1795,akuilari,L1795-4D88480B-92CE-472B-860E-8688F89494A8
L1796,akuilatu,L1796-B7B41C5C-8EA4-4C97-9535-81AABA4EA67B
L1797,akuilatzaile,L1797-7DAD177C-55D4-4D5A-BBE2-E4CBBAE7BE8E
L1798,akuilatze,L1798-7FE1E143-2B9E-45A9-917E-F5EEE2C93EB3
L1799,akuilu,L1799-E03DAB01-0FD1-4891-9B3E-83FE9E40802D
L1800,v,L1800-F4861E48-3CE6-48A7-89F8-32A5BDC6DFBF
L1801,akuiluka,L1801-4A9F57FF-82AE-452B-8A76-52BE8ECE3961
L1802,akuilutxo,L1802-2F667553-95C5-453C-80FC-AE4A515D2284
L1803,akula,L1803-34746A25-EBBB-4D4D-9DA3-E2326A8F60D5
L1804,akulamendi,L1804-4EADC35A-4FCE-439C-B2DD-D65B698DD9D1
L1805,akullada,L1805-D22DD38D-D666-4368-958F-63503D92C891
L1806,akullo,L1806-AE6A89AC-29A0-458F-B601-CC0C492F3769
L1807,akura,L1807-22D1B9BF-B59D-44D6-93B9-19810D9B432E
L1808,akuratu,L1808-89C0ACBE-F68A-4EBE-9951-367A17F93680
L1809,akuratzalle,L1809-44469A7C-2205-455E-9454-E176D4169E5A
L1810,akuri,L1810-DE8AF9BC-7C8E-4FB9-BBA6-C6F86FFE8807
L1811,akuriko,L1811-F3AC9E5D-5162-40B6-B56C-2BB8EE858093
L1812,akusadore,L1812-9F78EFBF-73E1-4765-8929-A05965C926B0
L1813,akusamendu,L1813-EE44BF5A-511A-4D55-B1CA-E467FB37474C
L1814,akusantxa,L1814-8F1EFD45-D847-4E3F-959A-1284DA2F1474
L1815,akusari,L1815-A03093A5-187C-44CF-A0A4-8AD8AF56DC30
L1816,akusatibo,L1816-2C57784A-3ACF-4D38-8DA0-F447535F5BAC
L1817,akusatu,L1817-42CC05AB-9CAC-4EF0-9938-041DB7A7B60B
L1818,akusatzaile,L1818-209B77E8-3164-4E84-A27E-9397E49FD97B
L1819,akusatze,L1819-0B34F331-8C32-4843-B565-6CBF3D6CB1FB
L1820,akusazio,L1820-5276B75A-0C04-476F-AAAF-7E3775439B99
L1821,akusu,L1821-DABE2929-EA61-4A79-9413-E2C939F7F4D2
L1822,akzidente,L1822-95CC6613-69BB-4D40-B8C8-67362DBB4542
L1823,akzio,L1823-5916EA9A-AEE6-4F2A-B107-91FA2708D717
L1824,ala,L1824-936708FA-CC81-41CE-B3AC-2486848F7BC9
L1825,hala,L1825-3AB93317-02E7-4689-8BF5-B40215FB70B9
L1826,alaba,L1826-9AEBED4B-0BBE-431E-AEF7-5E5D2794BA9E
L1827,alababitxi,L1827-A9846AE5-0F29-431B-B4A8-7F131ED82B6C
L1828,alabadere,L1828-A5A928DE-1EA9-4B9E-BC1A-5457A5C18396
L1829,alabadereko,L1829-9D773022-9943-453E-B8FB-0A88187AFE4C
L1830,alabaeder,L1830-6AEB5285-924A-4957-9108-DDF5B2C99C42
L1831,alabagarri,L1831-BFA8DE81-C2C8-4027-834C-83A46A9D840B
L1832,halabai,L1832-4CC41942-4360-4AD1-A241-79FB9F7EEB30
L1833,alabaia,L1833-1067DED2-9CDE-47ED-B2E3-C878432111E1
L2234,alderri,L2234-EC99C7B9-8760-458C-AB78-A9DCDBF32FC0
L2235,alderritar,L2235-F2449668-7606-47C8-881B-8B5A5B11DD74
L2236,aldesko,L2236-13AF5271-AE12-4522-9D61-27C59CFC367D
L2237,aldestaio,L2237-C0A8BFAA-A5D2-47F6-A2D2-FF15F576FE04
L2238,aldetiar,L2238-BD86CA7E-B111-4A40-B8A1-A138F9CA6C12
L2239,aldetsu,L2239-AE9CEB08-4762-472F-AB58-2902C7C355A2
L2240,aldetu,L2240-EB768173-8618-488A-A0D3-08559E588D9F
L2241,aldetxe,L2241-9438AE54-D2E3-453A-A748-FF91C3C6C3EF
L2242,aldetxo,L2242-C590C20E-5041-4648-B598-B84EA1158F75
L2243,aldezkari,L2243-DC9DC9AB-8962-440E-B799-FCEEC80F1C97
L2244,aldezkatu,L2244-7EDF17B7-99AC-4782-8452-F0994F9DA750
L2245,aldezle,L2245-FDE018A8-3B16-4991-84A2-18453167BB73
L2246,aldezpen,L2246-2A017B83-F917-49DB-A893-C1E820EE5904
L2247,aldezpide,L2247-75D99C99-31E8-4A6A-BF61-FA9CE7ECC539
L2248,aldeztu,L2248-D7EC9FC6-62C7-4E58-8EDE-143D9587B825
L2249,aldeztzaile,L2249-B37425AA-C747-4354-8CB5-CC42CAEE0677
L2250,aldi,L2250-A3DEFEDA-FBC0-4771-97F6-0B283D9487A7
L2251,aldiakatu,L2251-650CCD33-279D-4316-A002-1DFCB859C86D
L2252,aldiakera,L2252-68CFE7B9-5BE9-47CF-BF93-2169DA62A469
L2253,aldico,L2253-A643DBC0-B90E-4C19-8428-EEE3BE4E9BE5
L2254,aldidun,L2254-59DA0552-9232-4F40-9CCE-E71AE2AEE9AB
L2255,aldien,L2255-957D48FC-82A9-4C39-81F6-D07C1DE2E286
L2256,aldientsu,L2256-93C7F00B-B718-400A-84BC-62CFE5F78FE3
L2257,aldigaitz,L2257-6E2D780D-F718-4187-870D-8254182914A7
L2258,aldigaizte,L2258-6C8253DA-2831-419C-952B-731F741BAC25
L2259,aldigaizto,L2259-764E72B5-372C-4517-ADE6-C3C2005A9BAA
L2260,aldika,L2260-6F5EE39B-3D2E-4013-A374-9042354A6FDD
L2261,aldikada,L2261-7A0FA42A-7E42-4376-B203-AFBB083003EB
L2262,aldikadatxo,L2262-12A14BC3-4183-42EB-985F-EEBAC592246A
L2263,aldikal,L2263-37C30777-61A1-4981-81E8-801DAD71A710
L2264,aldikatu,L2264-6B9C7A5D-4263-4D48-A822-1EDE0EBAAD0B
L2265,aldikatze,L2265-20518323-65BF-4F89-AE9C-B2250E0D3C4F
L2266,aldiketari,L2266-DB87EA04-7AA9-43A5-A29F-6AB733B93657
L2267,aldiki,L2267-D3F1FA48-B963-4419-9CFF-C49A799AAC7E
L2268,aldiko,L2268-5F6E9C9B-8A3B-4232-8605-24011FBD501D
L2269,aldikoi,L2269-E1807EAC-0292-402D-B11E-975B798F85B4
L2270,aldimaitza,L2270-A5DA54DB-38C3-42D7-8190-66175D461813
L2271,aldimaitzadun,L2271-A7A16F47-61E1-4ABE-9605-DB957B77F018
L2272,aldin,L2272-431FC79E-F929-44B4-975B-0A6318C69455
L2273,aldinbateko,L2273-5ECB9A1B-012E-4180-BD3C-E990578B62A0
L2274,aldinbiko,L2274-32487B7A-EDF2-4EF9-8262-949D0122CAFB
L2275,aldintsu,L2275-BFEC838D-71CB-4980-8EB3-5A90818D4D1E
L2276,aldiri,L2276-10D51B95-8283-4BEF-AD65-5369EADFBA8B
L2277,aldiritar,L2277-0C91BB4A-97AE-43D5-BC14-AEDED72BCA5E
L2278,aldiro,L2278-DD9DCF61-A811-4DC9-827A-CE063937D60E
L2279,aldiroko,L2279-9FC052E7-79BD-4768-9925-90D527997EE1
L2280,alditsu,L2280-F1EFDA12-7EC6-4FA8-88E7-136113D33E33
L2281,alditxar,L2281-2DD9E904-AD61-4545-AE50-DD3ADA30E412
L2282,alditxartu,L2282-38C1B331-C0E0-42A6-9054-454A6CB0B67F
L2283,alditxartze,L2283-62F40734-9F90-4D67-8647-3778E6BFACD3
L2284,alditxo,L2284-5F4641FB-B226-4488-9DDD-B7BB544136E9
L2285,aldiune,L2285-EB44BE5E-6458-4C36-AB68-4E757B695F0B
L2286,aldixardura,L2286-C133DB0C-0664-4494-946C-EE8549DB12AC
L2287,aldiz,L2287-95AA0D0D-FF5F-46FC-B404-101AA8FEC78C
L2288,aldizatu,L2288-B896541B-8560-48C3-9363-1BF007DE0938
L2289,aldizka,L2289-15D3F5B4-018F-43FB-9456-A2632DC8CE5E
L2290,aldizkako,L2290-6A030D30-768B-427A-AE5B-B4AAD4878F93
L2291,aldizkamen,L2291-42CABFC7-C15D-4BB0-BE21-40703DB35E4F
L2292,aldizkamendu,L2292-A89F5216-E64C-4E8A-B41B-55605C93158B
L2293,aldizkari,L2293-A37FDB63-600D-42C7-85FC-B43B4C9074B2
L2294,aldizkaritxo,L2294-F7B606FA-4F69-4A62-B00B-6E46909B42B7
L2295,aldizkatu,L2295-A96224BA-116B-458C-8329-EE42B9C6FE01
L2297,aldizkatze,L2297-9ED992CB-11C6-46B3-8D59-5EA00417517C
L2298,aldizkingi,L2298-9F4F3CAE-152E-4DF9-B88D-1162DAC310CE
L2299,aldizko,L2299-7ADEFC26-4A5D-4A95-90B2-999F8195D308
L2300,aldizti,L2300-1342597B-18A4-4068-8208-16E4426A22C4
L2301,aldondu,L2301-6E57A823-01E2-48EC-A02E-0E92F5358677
L2302,aldospe,L2302-A732B577-4049-4DB4-A9A1-8AC635274131
L2303,aldoste,L2303-0FE9AEEB-3F54-45E0-AE26-F1FFE3ED2D98
L2304,aldra,L2304-BA9A5D26-D789-495F-85AA-2C277DD0578B
L2305,aldrague,L2305-07B98C85-38CA-4954-880B-71347221D44F
L2306,aldraka,L2306-8811960F-8C6D-4999-AEED-41FE9935E0A0
L2307,aldratu,L2307-B77BBCDE-BA93-4F91-A9D6-9E54BA7E6C38
L2308,aldratxo,L2308-5155B23A-7AF0-419B-A86C-0D74F2609481
L2309,aldrebes,L2309-0D5D35DE-A5AC-4C68-ABB1-C15C7C698B46
L2310,aldrebeskeria,L2310-86D31E00-7592-459D-8F08-7D5389818484
L2311,aldrebestasun,L2311-2B829380-E5E4-4652-B955-FB70F7BF386B
L2312,aldrebestu,L2312-E796B0EC-2E30-49C1-8F1E-2B42D9B934E8
L2313,aldun,L2313-F0AAA936-9C55-4C9A-AE95-2553C3845169
L2314,aldunburu,L2314-67EB8CCE-CCE5-4FBC-B77D-44E552FE6536
L2315,aldundi,L2315-A2BDA092-EAE8-4995-A66A-92694429122D
L2316,aldungo,L2316-F836D035-8B5F-4A63-8DD9-FDCE3BC6A287
L2317,ale,L2317-AE1658CC-2F6C-4613-B538-A6D484905C88
L2318,alea,L2318-E84A2455-3FBA-4C0A-9691-EE6024274273
L2319,aledun,L2319-129AB9FE-9775-4BA3-8166-201B7C4CB431
L2320,alegatu,L2320-0DB67F64-6A38-476D-9233-D323AE9497C0
L2321,alege,L2321-92D59DFB-7389-44F4-9BD2-27C0540BAC5C
L2322,alegeki,L2322-A51FA222-C689-4529-B36E-472DE5D7C996
L2323,alegera,L2323-644B2338-D1B0-40B1-81EE-60B7D76292B1
L2324,alegeragarri,L2324-3ADC9F3E-1673-4614-98CF-91B936258AD8
L2325,alegeraki,L2325-4D28F179-46F6-4AED-81AD-19461DCAF25C
L2326,alegerarazi,L2326-8CE82F49-3446-4A5F-BEB4-86255E27B3CB
L2327,alegeratasun,L2327-19C9FC5D-150D-4461-B4D6-63E62CB5F4EF
L2328,alegeratu,L2328-834330E1-758A-4B6D-A61F-5131543591B3
L2329,alegetasun,L2329-72537A12-4F19-426D-BE92-0FC3BB60C2AA
L2330,alegeurza,L2330-A073C0EA-20B2-48AC-B872-99060419BB13
L2331,alegia,L2331-2BCA1396-13D7-4E21-96A9-6C830990E39E
L2332,alegiaka,L2332-AB6E15D0-B34A-49F4-B7EC-5D9DB29156A4
L2333,alegiatsu,L2333-FC6AAD70-1695-4671-928D-5EE069350076
L2334,alegilari,L2334-E576726F-AF58-4E91-A067-0F72C89BCB51
L2335,alegitu,L2335-B9A04AB6-5718-4DDB-8C6A-60A514727984
L2336,alegoria,L2336-808381DE-C39D-4694-B6CB-8A3C4B5595E4
L2337,alegorri,L2337-D1D2BEC2-F5E6-4BF7-B040-A6048EE58112
L2338,alegrantzia,L2338-FDC76319-1A77-46DF-890B-15E3553356A9
L2339,alegria,L2339-43A821CB-8AC5-4590-8B2C-DDBF46CB52B0
L2340,aleitzi,L2340-1988FC62-2B23-4643-ACD1-0AF401AAFE56
L2341,aleka,L2341-AA53855D-AF26-437F-8094-19F848453138
L2342,aleman,L2342-9EFFFFEA-E9BC-4B51-BD29-8ADAA09135E4
L2343,alemandar,L2343-C9DF444D-D5FA-4554-AE37-F07C83D566E6
L2344,alemandu,L2344-E9A23319-0EBD-4817-9800-08E29C4E19D8
L2345,alemanera,L2345-65DF262B-70BF-4536-AC14-1A41030CBE7C
L2346,alhen,L2346-83CEADA1-6B06-4E7B-A5B7-1497FC7DC9D8
L2347,alengitu,L2347-6D43EB1C-7454-47CC-9BB4-C3C166D1BC28
L2348,alentatu,L2348-5A7D1EAA-A888-465A-9BC9-478479121A57
L2349,aleño,L2349-14FCAF32-0B8D-44E5-B630-EAFE85F4EB6A
L2350,halere,L2350-BF8013BE-BDF6-4DB4-A117-9FFF25B157E0
L2351,alero,L2351-8CEB3EF9-A7D7-4195-9F11-DF13B1DA5A8F
